[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3842628147.96785,10/05/2021,9:45 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC714,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM189,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A1,OVEN_HW_VERSION
INFO,OVB229,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC108,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI177,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,A2481,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,5mm x 5mm,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.98,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3842628289.07204,3.72244560718536,99.6003341674805,-3.3781699435668E-7,6.59003564655198E-9,1,10,13.3016452789307,7.98127165994983,31.3699990510941,-0.000663037773309286,-0.00010088718642524,1,-1.62659462681845E-9,,,,,,,,,,,,,,,,,,,,,3.68439674377441,3.76049447059631,99.6003341674805,99.6003341674805,54.8054468829097,5.62119445801248,4.84444093704224,133,1,0,0,1,0.467681884765625,32.7468223571777,6,1,1,3.76049447059631,0,742397472,3.72244560718536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842628299.05144,3.7979451417923,99.6003341674805,-3.42325108585686E-7,6.63284794166982E-9,1,10,13.3016452789307,7.98103174639174,31.3699990510941,-0.000671997587134585,-0.000101395889186438,1,-1.22271240064747E-9,,,,,,,,,,,,,,,,,,,,,3.76049447059631,3.83539581298828,99.6003341674805,99.6003341674805,54.7515145150827,5.6210995470607,4.85582637786865,133,1,0,0,1,0.4681396484375,32.7468223571777,6,1,1,3.83539581298828,0,742397344,3.7979451417923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842628309.07507,3.87589108943939,99.6003341674805,-3.43887366296714E-7,6.82315526360898E-9,1,10,13.3016452789307,7.9811170353049,31.3699990510941,-0.000675533686268656,-9.8699306224411E-5,1,3.80566564075107E-10,,,,,,,,,,,,,,,,,,,,,3.8375735282898,3.91420865058899,99.6003341674805,99.6003341674805,54.6045683534673,5.62179860208204,4.88393211364746,133,1,0,0,1,0.468063354492188,33.2355842590332,6,1,1,3.91420865058899,0,742397344,3.87589108943939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842628319.09458,3.95110094547272,99.6003341674805,-3.41470119667604E-7,6.79963127296901E-9,1,10,13.3016452789307,7.98118280636767,31.3800014555454,-0.000670618774588229,-9.91577498488516E-5,1,-2.08518285118524E-10,,,,,,,,,,,,,,,,,,,,,3.91510462760925,3.98709726333618,99.6003341674805,99.6003341674805,54.7640205713904,5.62194775732659,4.91768503189087,133,1,0,0,1,0.467453002929687,33.2355842590332,6,1,1,3.98709726333618,0,742397120,3.95110094547272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842628329.05503,4.02550959587097,99.6003341674805,-3.46755931967503E-7,6.82357456753182E-9,1,10,13.3016452789307,7.98108280660553,31.3699990510941,-0.000680436688053594,-0.000104482921430785,1,-2.14189408665512E-9,,,,,,,,,,,,,,,,,,,,,3.98709726333618,4.06392192840576,99.6003341674805,99.6003341674805,54.7010994755923,5.6218881450695,4.93074703216553,133,1,0,0,1,0.469970703125,33.2355842590332,6,1,1,4.06392192840576,0,742397280,4.02550959587097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842628339.10874,4.10323429107666,99.6003341674805,-3.46950731507408E-7,6.87737869841217E-9,1,10,13.3016452789307,7.98117428576219,31.3699990510941,-0.000681655413428146,-9.88910342462932E-5,1,7.34191355722022E-10,,,,,,,,,,,,,,,,,,,,,4.06561422348022,4.1408543586731,99.6003341674805,99.6003341674805,54.70344436115,5.62174567706767,4.95356750488281,133,1,0,0,1,0.470352172851562,33.2355842590332,6,1,1,4.1408543586731,0,742397184,4.10323429107666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842628349.02359,4.18083810806274,99.6003341674805,-3.48283719880677E-7,6.99532559341849E-9,1,10,13.3016452789307,7.98114128374388,31.3800014555454,-0.000684333549766835,-9.88577661278822E-5,1,9.4727618914118E-10,,,,,,,,,,,,,,,,,,,,,4.1408543586731,4.22082185745239,99.6003341674805,99.6003341674805,54.6870301622462,5.62178490652245,4.96943950653076,133,1,0,0,1,0.468978881835937,32.7468223571777,6,1,1,4.22082185745239,0,742397184,4.18083810806274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842628359.03772,4.25599074363708,99.6003341674805,-3.46838456902338E-7,6.73121789806308E-9,1,10,13.3016452789307,7.98103355289648,31.3699990510941,-0.000680782967946469,-0.000103239316224067,1,-1.49675173283633E-9,,,,,,,,,,,,,,,,,,,,,4.22082185745239,4.29115962982178,99.6003341674805,99.6003341674805,54.6905474905827,5.62273387440368,6.24103403091431,133,1,0,0,1,0.469512939453125,32.7468223571777,6,1,1,4.29115962982178,0,742397440,4.25599074363708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842628369.0717,4.33216094970703,99.6003341674805,-3.45988645454916E-7,6.80858458372925E-9,1,10,13.3016452789307,7.98088061964737,31.3699990510941,-0.000679784492321836,-9.83878963494839E-5,1,8.47665896192901E-10,,,,,,,,,,,,,,,,,,,,,4.29510498046875,4.36921691894531,99.6003341674805,99.6003341674805,54.7687103425058,5.62181904936265,6.26971817016602,133,1,0,0,1,0.466842651367188,32.2580642700195,6,1,1,4.36921691894531,0,742397376,4.33216094970703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842628379.10028,4.4089629650116,99.6003341674805,-3.47914106654441E-7,6.3920341737017E-9,1,10,13.3016452789307,7.98090212188821,31.3699990510941,-0.000682848455335977,-0.000103826668754466,1,-1.63791666553617E-9,,,,,,,,,,,,,,,,,,,,,4.37033605575562,4.44758987426758,99.6003341674805,99.6003341674805,54.7179044887558,5.62216417456901,6.29390239715576,133,1,0,0,1,0.467605590820313,33.2355842590332,6,1,1,4.44758987426758,0,742397408,4.4089629650116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
