[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3842600357.39223,10/05/2021,2:02 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC714,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM189,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A1,OVEN_HW_VERSION
INFO,OVB229,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC108,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI177,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,A2481,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,5mm x 5mm,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.98,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3842600878.75831,299.999847412109,9208.44921875,-5.21975534039487E-5,1.2088755494893E-7,1,10,13.3016452789307,8.00885178790983,32.3100015521049,-0.102695680517672,-0.0152868740582029,1,-8.2742056545494E-8,,,,,,,,,,,,,,,,,,,,,299.999694824219,300,9208.44921875,9208.44921875,54.945358387852,5.60632411332081,9.58975791931152,133,1,0,0,1,0.472869873046875,33.7243423461914,1,1,1,299.999694824219,0,742397088,299.999847412109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842600908.40879,300.000213623047,7350.39208984375,-4.11303693853118E-5,9.57301926389366E-8,1,10,13.3016452789307,8.00883337674316,32.3100015521049,-0.0809217857752618,-0.0120439222335937,1,-6.43156896568046E-8,,,,,,,,,,,,,,,,,,,,,299.999877929687,300.000549316406,7350.39208984375,7350.39208984375,55.021567168477,5.60679807182002,9.58250999450684,133,1,0,0,1,0.473098754882812,33.7243423461914,1,1,1,300.000701904297,0,742397216,300.000213623047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842600938.13274,299.999954223633,5867.2802734375,-3.22957951332892E-5,8.02872762592806E-8,1,10,13.3016452789307,8.0087681932911,32.3100015521049,-0.0635413881583486,-0.00944714196668029,1,-4.55362798351917E-8,,,,,,,,,,,,,,,,,,,,,299.999572753906,300.000335693359,5867.2802734375,5867.2802734375,54.8929892770635,5.60648222380208,9.58646869659424,133,1,0,0,1,0.465469360351562,33.7243423461914,1,1,1,299.999572753906,0,742397312,299.999954223633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842600968.00618,300.000030517578,4683.26416015625,-2.52407638112813E-5,6.50583168654789E-8,1,10,13.3016452789307,8.00874965148937,32.3100015521049,-0.0496624204285275,-0.00737157101488198,1,-2.95778743701885E-8,,,,,,,,,,,,,,,,,,,,,299.999877929687,300.000183105469,4683.26416015625,4683.26416015625,54.871103678525,5.60705139993732,9.59032249450684,133,1,0,0,1,0.468215942382812,34.2131004333496,1,1,1,299.999877929687,0,742397312,300.000030517578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842600996.27662,299.999786376953,3738.30639648438,-1.96238015840695E-5,5.62130714968832E-8,1,10,13.3016452789307,8.00871708429548,32.3100015521049,-0.0386127490816123,-0.00571713165945552,1,-1.58859460907881E-8,,,,,,,,,,,,,,,,,,,,,299.999694824219,299.999877929687,3738.30639648438,3738.30639648438,54.9922560990058,5.606842898921,9.58927536010742,133,1,0,0,1,0.472869873046875,34.2131004333496,1,1,1,299.999877929687,0,742397216,299.999786376953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842601023.51455,300.000244140625,2984.158203125,-1.5152338093195E-5,4.64994617845724E-8,1,10,13.3016452789307,8.00867538150221,32.3100015521049,-0.0298156402831948,-0.00440594790982479,1,-7.96205612781094E-9,,,,,,,,,,,,,,,,,,,,,299.999908447266,300.000579833984,2984.158203125,2984.158203125,54.8992423052174,5.60680663186831,9.59389305114746,133,1,0,0,1,0.475006103515625,33.7243423461914,1,1,1,300.000579833984,0,742397280,300.000244140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842601051.24094,299.999786376953,2381.98046875,-1.15976012335208E-5,4.11809556968861E-8,1,10,13.3016452789307,8.00870842539487,32.3100015521049,-0.0228228998639723,-0.00335905481792833,1,6.47059947595655E-10,,,,,,,,,,,,,,,,,,,,,299.999755859375,299.999816894531,2381.98046875,2381.98046875,54.869149607227,5.60649120589868,9.59064769744873,133,1,0,0,1,0.465927124023438,34.2131004333496,1,1,1,299.999755859375,0,742397216,299.999786376953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842601079.8014,299.999954223633,1901.49670410156,-8.77055839188482E-6,3.49652487405802E-8,1,10,13.3016452789307,8.0087297990161,32.3100015521049,-0.0172610849622293,-0.00253011634365248,1,5.63988089648495E-9,,,,,,,,,,,,,,,,,,,,,299.999938964844,299.999969482422,1901.49670410156,1901.49670410156,54.9086218474481,5.60717588921988,9.58304691314697,133,1,0,0,1,0.472869873046875,33.7243423461914,1,1,1,299.999969482422,0,742397344,299.999954223633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842601106.6566,300,1517.90222167969,-6.54392693280741E-6,3.09899984396533E-8,1,10,13.3016452789307,8.0086221613643,32.3100015521049,-0.0128799333751488,-0.0018801996735738,1,8.05361706097671E-9,,,,,,,,,,,,,,,,,,,,,299.999542236328,300.000457763672,1517.90222167969,1517.90222167969,54.9211279037558,5.60683886875351,9.58065700531006,133,1,0,0,1,0.465927124023438,33.7243423461914,1,1,1,300.000457763672,0,742397408,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842601135.43877,300.000396728516,1211.63024902344,-4.8120521654584E-6,2.97216549710042E-8,1,10,13.3016452789307,8.00862560805932,32.3100015521049,-0.0094742674259583,-0.00136185331782863,1,1.6463946958518E-8,,,,,,,,,,,,,,,,,,,,,300.000152587891,300.000640869141,1211.63024902344,1211.63024902344,54.9137024328231,5.60653137245278,9.58480072021484,133,1,0,0,1,0.469512939453125,33.7243423461914,1,1,1,300.000640869141,0,742397376,300.000396728516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
