Magnetic Field (T),Moment (emu/cm3),M. Std. Err. (emu/cm3),Moment (emu/cm3)_lin-part,Moment (emu/cm3)_y-lin-subtract
6.999965625000001,-866.1398643706897,1.8846502203121736,-899.6718219015144,33.53195753082464
6.999959375,-866.1290774709619,1.8740064185814793,-899.6710186191573,33.54194114819532
5.58753359375,-683.4717628073956,2.2955860973598687,-718.1387448920476,34.66698208465194
4.460055078125,-538.763369194873,2.1512256409963206,-573.229368953911,34.465999759038056
3.56008828125,-424.23473231556267,1.3626290935570329,-457.5609769687145,33.32624465315186
2.8417267578125003,-333.86761011887484,0.9217808523955286,-365.23343492096865,31.365824802093826
2.26829921875,-262.6865149065336,0.6952733371298617,-291.5335588880973,28.847043981563665
1.8105927734375,-206.8831323284383,0.5414429543984143,-232.7067569278572,25.823624599418917
1.44524404296875,-162.92676634284985,0.41248435140794015,-185.75024662781908,22.82348028496923
1.15361455078125,-128.42174188707963,0.3452629079047165,-148.26851448623566,19.846772599156022
0.9208547851562501,-101.21265129987705,0.27194197783852314,-118.35302437906628,17.14037307918924
0.7350306152343751,-79.79332998883167,0.2206587635002675,-94.46994002364134,14.676610034809675
0.5867244140625,-62.81937433327292,0.18348779629093243,-75.40885924760636,12.589484914333434
0.46834609375,-49.3682501249197,0.15543039117812205,-60.19426466033823,10.826014535418533
0.37384414062500004,-38.692344532691926,0.12625633133679948,-48.04838439521618,9.35603986252426
0.29840107421875,-30.21102018318875,0.10730444555809847,-38.352050921643176,8.141030738454425
0.238218896484375,-23.47305165654923,0.09414124407721508,-30.617125867881082,7.144074211331853
0.190154577636719,-18.105505788282603,0.08212023028046099,-24.439650774047898,6.334144985765294
0.151779187011719,-13.83141090454247,0.07263692867508235,-19.507446896292993,5.676035991750522
0.12116425781250001,-10.43935168017364,0.06641210928553176,-15.572657697946433,5.133306017772792
0.09672849731445311,-7.756407953410414,0.06003535335233644,-12.432047251473433,4.675639298063019
0.0772206237792969,-5.6312219659782,0.055703677806698056,-9.924794349813888,4.29357238383569
0.061640820312500004,-3.9210198727101635,0.05860824142887773,-7.922397349494234,4.00137747678407
0.049222366333007805,-2.6329821003476637,0.0496189456366148,-6.326313352020338,3.6933312516726744
0.0392782806396484,-1.5525664705098232,0.04747193323583757,-5.048247976822236,3.4956815063124127
0.031363250732421896,-0.7223785058734915,0.04675570869874887,-4.03096735595641,3.308588850082918
0.025029507446289102,-0.02404927270122618,0.04822819566698798,-3.2169218781699995,3.1928726054687733
0.0200108474731445,0.5166616896586798,0.05034642440474887,-2.5718977161344596,3.088559405793139
0.0159613250732422,0.9265858312049842,0.04125613272995962,-2.0514321323693827,2.978017963574367
0.012760718536377,1.2606132261868217,0.040950471989493885,-1.6400736102750104,2.900686836461832
0.010193116760253902,1.5453739315562434,0.03950593967217151,-1.3100721371831718,2.855446068739415
0.00813830108642578,1.7423889565579063,0.03931063631910867,-1.045976588721856,2.7883655452797624
0.00651530227661133,1.8468644841256285,0.0729172243085844,-0.837380379198362,2.6842448633239906
0.00520144653320313,2.0550204473515814,0.038966098016146096,-0.668516837045207,2.723537284396788
0.00414888954162598,2.163642519433047,0.038882267328294244,-0.5332367632566458,2.696879282689693
0.0033232826232910202,2.24610781378726,0.038712340039187165,-0.42712548783264576,2.6732333016199057
0.0026547004699707002,2.3316396531030854,0.03805436555509824,-0.3411958481469466,2.6728355012500318
0.00213210220336914,2.3814731078599367,0.03731741372696598,-0.27402881336082946,2.655501921220766
0.0016990573883056603,2.4273603003809443,0.037296427631154046,-0.21837165179681606,2.6457319521777602
0.00136537961959839,2.4664333680537887,0.03839748110826997,-0.17548565746725078,2.6419190255210396
0.00109794683456421,2.4913355313285623,0.036769650604004764,-0.14111381139866433,2.6324493427272264
0.000891851711273193,2.5409351378203495,0.04342815384574615,-0.11462539917074763,2.655560536991097
0.000709065103530884,2.550719632808167,0.0377422036710025,-0.09113271803251408,2.641852350840681
0.000566761350631714,2.5617579811242743,0.03756711614876951,-0.07284310298398032,2.634601084108255
0.000475981426239014,2.580331044741493,0.03711814190922232,-0.06117559712098371,2.641506641862477
0.00035821280479431204,2.5831958599703952,0.03777726313909392,-0.046039364188699174,2.629235224159094
0.00029810175895690904,2.5831691689508167,0.03781168320843807,-0.03831358137459545,2.621482750325412
0.000252711772918701,2.6001253756485028,0.0371320763898961,-0.03247982537881813,2.632605201027321
0.00021958935260772702,2.6043654859599594,0.037187692268791296,-0.028222760441165423,2.632588246401125
0.00016929235458374,2.6053413528017697,0.03722285690924932,-0.021758329860705642,2.6270996826624753
-8.58729302883148e-05,2.6288126232000004,0.03701246624224411,0.011036833576523441,2.6177757896234772
-0.00011408833265304601,2.624805726299751,0.04182789913198072,0.014663223163424026,2.610142503136327
-0.00015211777687072802,2.646443855707963,0.03711988154700704,0.0195509642178987,2.6268928914900647
-0.000176652884483337,2.647847817306693,0.03735507395101112,0.02270434326986878,2.6251434740368245
-0.000228176665306091,2.647699791802836,0.03658466055778971,0.029326446326847916,2.618373345475988
-0.000322636866569519,2.6619014803116157,0.037944594673762704,0.04146696042656565,2.6204345198850496
-0.00041832385063171395,2.670917857456761,0.036865665708849145,0.05376514700280275,2.617152710453958
-0.0005164643764495849,2.6750381407113206,0.037097120160509985,0.06637867546779955,2.6086594652435213
-0.0006465005397796631,2.6879180517447145,0.03725653017278267,0.0830915963939297,2.6048264553507847
-0.000814566135406494,2.7040875099001815,0.037651222902316026,0.104692256842395,2.5993952530577866
-0.00103660898208618,2.7290342684249773,0.03768321286783689,0.13323035304376193,2.595803915381216
