Magnetic Field (T),Moment (emu/cm3),M. Std. Err. (emu/cm3),Moment (emu/cm3)_lin-part,Moment (emu/cm3)_y-lin-subtract
6.999982812500001,-941.5389828452815,1.7918305265778496,-947.0799917559305,5.541008910649017
6.999983593750001,-941.2567902531762,1.80765913286076,-947.0800974570819,5.823307203905826
5.5875296875,-749.8149537992288,2.2299382210420124,-755.9786519652281,6.163698165999336
4.4600453125,-597.3134698854357,2.102132601193868,-603.4328641851328,6.119394299697091
3.5600820312500003,-475.5797975362977,1.3413492322699707,-481.6701056445181,6.090308108220455
2.841701171875,-378.2072301860254,0.9110393524291946,-384.474990085155,6.267759899129572
2.268290625,-300.74112330648825,0.6773851776623595,-306.8939915950764,6.152868288588117
1.810590234375,-238.81470175136118,0.5466645504897097,-244.96828494823438,6.153583196873179
1.4452598632812501,-189.3074245720277,0.41993780914985257,-195.54000860649734,6.232584034469644
1.15361572265625,-149.89507774300978,0.3398263548484007,-156.08129310714546,6.186215364135691
0.920844921875,-118.41550227756058,0.27424581431245465,-124.58799176771056,6.172489490149979
0.735039208984375,-93.30846049299412,0.21717375825530083,-99.44894818057205,6.140487687577933
0.5867280273437501,-73.26632289766154,0.1821399189185132,-79.38281995598716,6.1164970583256215
0.468326416015625,-57.261260914884986,0.14759146294346392,-63.363381039610594,6.102120124725612
0.37383063964843805,-44.51860613445895,0.12752511682596007,-50.57834120451376,6.059735070054813
0.2984158203125,-34.3746326978108,0.10548879715193378,-40.37490665501569,6.00027395720489
0.238198046875,-26.31034762595463,0.09342322072796302,-32.22759402606086,5.917246400106234
0.190149670410156,-19.89691105237028,0.07932225213380263,-25.72677006618628,5.829859013815997
0.151790222167969,-14.84556926680447,0.07030398920066538,-20.53683361947125,5.6912643526667805
0.121163024902344,-10.91663376918875,0.06742662198503677,-16.393051197314712,5.4764174281259645
0.0967186889648438,-7.820149376028154,0.05801970633034007,-13.085794294222586,5.265644918194432
0.0771948608398438,-5.509036542340473,0.05506116468566811,-10.444269668383482,4.93523312604301
0.0616445007324219,-3.7770838636616153,0.052239627816096194,-8.34034522787774,4.5632613642161255
0.049212548828125,-2.5404532769461436,0.047240293316693514,-6.658333539790952,4.117880262844809
0.0392807342529297,-1.6232120586529402,0.04636548121764905,-5.314584116692295,3.6913720580393545
0.03135588989257811,-0.8883989801077042,0.054417280791119106,-4.242372693820487,3.353973713712783
0.0250282806396484,-0.4407680929699865,0.04259050939793217,-3.386263146180163,2.945495053210177
0.019989993286132803,-0.06846247582513976,0.04261168838167718,-2.7045955945526488,2.6361331187275088
0.015983406066894502,0.18294926264250908,0.0422551720793952,-2.162514464897643,2.345463727540152
0.0127668518066406,0.372511056548775,0.040981628000597105,-1.7273227988775675,2.099833855426342
0.010198023986816402,0.5069168664469533,0.03977138467204946,-1.3797668840148825,1.886683750461836
0.008149341583251951,0.6043709359790859,0.040419360377187165,-1.1025853300239825,1.7069562660030684
0.00649812774658203,0.6714101999597937,0.04094818024622233,-0.8791802690818237,1.5505904690416175
0.00520880661010742,0.742369095586579,0.03914734168299796,-0.704738376292802,1.4471074718793813
0.00415379638671875,0.7964654492947278,0.03794123006211956,-0.5619981581475358,1.3584636074422636
0.00332818984985352,0.8526147874329832,0.03892360069802542,-0.4502956792883473,1.3029104667213305
0.0026608341217041003,0.8790407452745668,0.03845982056097165,-0.36000413508835566,1.2390448803629224
0.0021259685516357403,0.9116429236425795,0.037686061845857766,-0.2876381745910957,1.199281098233675
0.0017051910400390602,0.9218040412228359,0.03738426447357237,-0.23070804020527436,1.1525120814281102
0.0013690598487854002,0.957350304536334,0.037833785364628635,-0.18523033913535802,1.142580643671692
0.0011004003524780301,0.9592486137412978,0.03923185565340608,-0.14888138795028158,1.1081300016915794
0.000879584217071533,0.9716963237089521,0.036417761035705994,-0.11900552263716777,1.0907018463461198
0.0007139721393585201,0.9754511395889498,0.03720986776399524,-0.09659862687807581,1.0720497664670257
0.000576575422286987,0.9788742240351883,0.03762212768018217,-0.07800919813847497,1.0568834221736632
0.000455126571655273,0.9989795096170146,0.03806295631601157,-0.061577475442005716,1.0605569850590204
0.000361893105506897,0.9936277853909166,0.03830614622876362,-0.048963222990770744,1.0425910083816874
0.000320183372497559,0.9969306465640699,0.037724651859434216,-0.043320001478271364,1.0402506480423412
0.00026743285655975304,1.0027944638473028,0.03760701302830944,-0.03618298992585931,1.038977453773162
0.000206095051765442,1.005776076319213,0.038557020738287894,-0.02788413988365816,1.0336602162028712
0.000177879655361176,0.9345064260612365,0.0907450552975202,-0.024066668025552428,0.9585730940867888
-7.97391533851624e-05,1.0225996902712229,0.037614397689933986,0.010788506022584535,1.0118111842486384
-0.000107954549789429,1.0220916436787115,0.036892713391705766,0.014605977880690346,1.0074856657980211
-0.000143530476093292,1.0309513879157488,0.03647955925761502,0.019419310840652116,1.0115320770750966
-0.000193827474117279,1.0320215706022302,0.036407921214469376,0.026224367617197687,1.0057972029850326
-0.00026129908561706497,1.0158980992335866,0.03708197266215087,0.03535310621193644,0.9805449930216503
-0.000300555276870728,1.0183603674870327,0.036090216813246825,0.040664369722826436,0.9776959977642063
-0.00041587038040161097,1.0321765249608736,0.036908541022535164,0.05626621193111585,0.9759103130297577
-0.000510330581665039,1.034912925837323,0.0366904174853015,0.06904643854454097,0.9658664872927822
-0.000647727298736572,1.043608994828605,0.03749496202414905,0.0876358672841418,0.9559731275444632
-0.000810885810852051,1.043838234324036,0.03638937998314656,0.1097108018158811,0.9341274325081548
