Field [T],Moment (m) [muB/f.u.],Moment (m) [muB/f.u.]_lin-part,Moment (m) [muB/f.u.]_y-lin-subtract
2.000020798,-1.2770877335789184,-1.9325338918458121,0.6554461582668938
1.9901690050000003,-1.267276560209554,-1.923014528903693,0.655737968694139
1.9801555069999999,-1.2591005824017505,-1.9133389173899116,0.6542383349881611
1.9701468850000001,-1.2460190179092647,-1.9036680173447644,0.6576489994354998
1.9601403750000002,-1.2443838223477042,-1.8939991580341855,0.6496153356864814
1.950134076,-1.2313022578552182,-1.8843305026038117,0.6530282447485936
1.940128757,-1.2182206933627324,-1.8746627941051983,0.6564421007424658
1.93012296,-1.210044715554929,-1.8649946237357873,0.6549499081808583
1.920118838,-1.2084095199933682,-1.85532807184668,0.6469185518533119
1.9101132490000001,-1.1887871732546398,-1.845660102458704,0.6568729292040643
1.9001082880000002,-1.1822463910083967,-1.8359927398800597,0.653746348871663
1.89010493,-1.1691648265159111,-1.8263269262112225,0.6571620996953113
1.880099153,-1.1577184575849861,-1.8166587751669496,0.6589403175819635
1.8700949740000001,-1.1495424797771825,-1.8069921682011993,0.6574496884240169
1.860091567,-1.1479072842156217,-1.7973263071857744,0.6494190229701525
1.850086092,-1.1348257197231362,-1.7876584479510842,0.652832728227948
1.840082985,-1.1233793507922112,-1.7779928768127287,0.6546135260205175
1.830079308,-1.1152033729844075,-1.768326754907941,0.6531233819235334
1.820073839,-1.1053921996150433,-1.7586589014707925,0.6532667018557493
1.8100699830000002,-1.0923106351225575,-1.7489926066060206,0.6566819714834631
1.800067039,-1.0874050484378754,-1.7393271929675391,0.6519221445296636
1.790062081,-1.0792290706300718,-1.7296598332876654,0.6504307626575935
1.7800589380000003,-1.0645123105760252,-1.7199942273640614,0.6554819167880361
1.7700538820000002,-1.0563363327682218,-1.7103267729910119,0.6539904402227902
1.7600514480000002,-1.0465251593988574,-1.7006618521435484,0.6541366927446909
1.750046417,-1.0367139860294932,-1.6909944219269208,0.6542804358974278
1.740042322,-1.0285380082216895,-1.6813278961267502,0.6527898879050605
1.7300397840000001,-1.0170916392907645,-1.6716628747885693,0.6545712354978047
1.7200334750000004,-0.9974692925520361,-1.6619942096956268,0.6645249171435909
1.7100312979999999,-0.9941989014289146,-1.6523295371761857,0.6581306357472712
1.7000280380000001,-0.9925637058673539,-1.6426638182005249,0.650100112333171
1.6900226090000001,-0.9778469458133074,-1.6329960034136524,0.6551490576003449
1.6800196360000001,-0.9680357724439432,-1.6233305617537208,0.6552947893097777
1.6700155490000002,-0.9614949901977003,-1.6136640436836052,0.6521690534859048
1.660011839,-0.951683816828336,-1.60399788989234,0.652314073064004
1.650008546,-0.9418726434589717,-1.5943321390302012,0.6524594955712294
1.640004551,-0.9304262745280467,-1.5846657098557202,0.6542394353276734
1.63000026,-0.9255206878433646,-1.5749989946691973,0.6494783068258327
1.619996076,-0.905898341104636,-1.5653323828721626,0.6594340417675266
1.609993536,-0.9009927544199539,-1.5556673596014678,0.6546746051815139
1.5999885990000002,-0.8944519721737111,-1.5460000202129893,0.6515480480392783
1.589985967,-0.8781000165581039,-1.53633490804666,0.6582348914885561
1.579982776,-0.8748296254349824,-1.5266692557427246,0.6518396303077421
1.569978332,-0.8682888431887397,-1.5170023927188965,0.6487135495301568
1.559975748,-0.8552072786962538,-1.5073373269328982,0.6521300482366444
1.5499699290000002,-0.8453961053268896,-1.4976691353058358,0.6522730299789461
1.53996687,-0.8388553230806467,-1.4880036105478107,0.649148287467164
1.5299634990000002,-0.8208681719034788,-1.4783377843176342,0.6574696124141554
1.51995841,-0.8175977807803575,-1.4686702980581068,0.6510725172777494
1.509957229,-0.8126921940956753,-1.4590065879305363,0.646314393834861
1.49995111,-0.7996106296031896,-1.4493381064264044,0.6497274768232147
1.489948803,-0.7865290651107038,-1.4396733082935669,0.653144243182863
1.479944745,-0.7816234784260218,-1.430006818244901,0.6483833398188794
1.4699411190000002,-0.7701771094950967,-1.4203407456192156,0.6501636361241189
1.459937811,-0.7685419139335359,-1.410674980263223,0.6421330663296871
1.44993334,-0.7521899583179288,-1.4010080911504588,0.64881813283253
1.439930208,-0.7423787849485646,-1.3913424958556806,0.6489637109071161
1.429926202,-0.7407435893870039,-1.3816760560523738,0.6409324666653697
1.4199228970000002,-0.7243916337713967,-1.3720102935951521,0.6476186598237554
1.4099191590000002,-0.7129452648404717,-1.362344112748694,0.6493988479082221
1.3999151140000001,-0.7113100692789109,-1.3526776352613679,0.641367565982457
1.389912687,-0.6965933092248645,-1.3430127211777028,0.6464194119528383
1.379908108,-0.6851469402939395,-1.3333457277091934,0.6481987874152537
1.36990421,-0.6802413536092574,-1.3236793922616314,0.6434380386523739
1.3599010070000002,-0.6737005713630145,-1.3140137283626134,0.640313156999599
1.349896395,-0.6557134201858467,-1.3043467030076263,0.6486332828217797
1.3398936760000002,-0.6524430290627252,-1.294681506776947,0.6422384777142218
1.329889339,-0.6442670512549217,-1.2850147471426068,0.6407476958876851
1.319885542,-0.6328206823239966,-1.2753485092869914,0.6425278269629947
1.309882991,-0.6197391178315109,-1.265683475387471,0.64594435755596
1.299878251,-0.6164687267083895,-1.256016326351601,0.6395475996432115
1.289873713,-0.596846379969661,-1.2463493724996244,0.6495029925299635
1.279871194,-0.5903055977234181,-1.2366843695203245,0.6463787717969064
1.2698672860000002,-0.5821296199156144,-1.2270180244101938,0.6448884044945793
1.259863229,-0.5755888376693716,-1.217351535327785,0.6417626976584133
1.249858974,-0.5608720776153252,-1.2076848549265105,0.6468127773111851
