"FC, H = 100 Oe_x","FC, H = 100 Oe_y"
399.890747070313,-15044.354897973622
399.890731811523,-15009.74713580571
399.777221679687,-15016.275800211442
399.4345703125,-15016.457271618174
398.86962890625,-14896.698575822511
398.180969238281,-15023.305000610573
397.390563964844,-14850.820862499982
396.567199707031,-15014.576436824294
395.724975585937,-14972.49516732223
394.875442504883,-14961.429820494914
394.039733886719,-14799.278743481733
393.145431518555,-14870.550992951754
392.270477294922,-14934.293752708143
391.420394897461,-14895.858888695853
390.544418334961,-14871.776793010287
389.760437011719,-14918.284831021401
388.937789916992,-14951.781191749957
388.132400512695,-14828.918770308017
387.295883178711,-14878.913481794609
386.516479492188,-14804.33240145374
385.718063354492,-14757.561841205867
384.934829711914,-14836.49882586692
384.103149414063,-14752.803687773638
383.310974121094,-14833.122802104252
382.482482910156,-15028.881291626345
381.677230834961,-14728.655142187532
380.852111816406,-14943.35166214029
380.070510864258,-14934.699568286915
379.252838134766,-14755.01928174549
378.394836425781,-14839.185491711054
377.566528320313,-14849.680980453324
376.772598266602,-14846.115735635763
375.939605712891,-14766.869045426281
375.089019775391,-14908.765357633825
374.269302368164,-14711.193983441919
373.420257568359,-14835.513994326642
372.601516723633,-14788.890304604598
371.760437011719,-14794.26098357031
370.889282226562,-14808.561090748644
370.054489135742,-14680.485369607091
369.263092041016,-14816.334038468882
368.421325683594,-14616.388633839688
367.591430664063,-14622.64037126536
366.743255615234,-14697.14966775389
365.902435302734,-14610.484392410997
365.0791015625,-14642.823744336958
364.278335571289,-14614.53482765943
363.401580810547,-14567.359345784484
362.569976806641,-14701.917392013864
361.761901855469,-14766.487067443139
360.949752807617,-14566.54855831711
360.125442504883,-14766.982753690703
359.250442504883,-14703.035626819215
358.402526855469,-14714.828868193748
357.616012573242,-14614.991065967986
356.774795532227,-14527.657072279744
355.952865600586,-14609.94065694152
355.118804931641,-14551.560270088961
354.290893554687,-14577.834901499313
353.450912475586,-14571.310700325736
352.613739013672,-14607.733849198712
351.723205566406,-14606.89068936313
350.917297363281,-14510.468887614774
350.132827758789,-14539.538232817478
349.310989379883,-14449.032057333867
348.454818725586,-14420.836096405794
347.648147583008,-14373.386318820158
346.813858032227,-14513.117954816309
345.974258422852,-14484.286859182434
345.090789794922,-14326.781228950615
344.261367797852,-14504.716705095136
343.450134277344,-14404.475926044444
342.640838623047,-14453.08979483602
341.794662475586,-14417.630558406774
340.948745727539,-14359.571986173305
340.125289916992,-14433.753452560135
339.2802734375,-14431.43276299778
338.399993896484,-14470.129564687086
337.593673706055,-14441.681377748379
336.768096923828,-14400.16310512961
335.968231201172,-14408.179691769805
335.13410949707,-14414.965385123382
334.319198608398,-14290.35602354074
333.447204589844,-14349.14848534773
332.605270385742,-14459.938894133205
331.775375366211,-14372.57742268656
330.975921630859,-14337.790032757774
330.108917236328,-14365.294373246299
329.260940551758,-14376.486995332923
328.443771362305,-14186.32252016687
327.637710571289,-14325.734398964534
326.796722412109,-14352.282700340154
325.930328369141,-14246.988166454375
325.081924438477,-14354.605199277668
324.292846679687,-14492.028666466758
323.460052490234,-14257.425802170428
322.633056640625,-14263.5958992619
321.785522460937,-14249.746613882386
320.986892700195,-14211.224071371695
320.160858154297,-14175.80379777907
319.323837280273,-14126.904963617493
318.473846435547,-14174.244623912591
317.662185668945,-14325.163712904598
316.838424682617,-14227.179367628432
315.981155395508,-14128.840576548751
315.130157470703,-14220.146851427335
314.28840637207,-14194.77546403016
313.413558959961,-14151.603573577011
312.573196411133,-14091.170799423282
311.68977355957,-14175.04209736515
310.839797973633,-14205.246294311079
309.923187255859,-14243.080495824752
309.053924560547,-14086.259504105225
308.175598144531,-14068.923960400196
307.303649902344,-14051.940134101882
306.401626586914,-14026.614475589755
305.556488037109,-14027.637793631517
304.715728759766,-14078.698781869425
303.913986206055,-14141.892718511772
303.089050292969,-14032.779165298205
302.295028686523,-13881.315800801663
301.505645751953,-14050.236757496741
300.732940673828,-14004.10794539966
299.945236206055,-13895.524847711997
299.146911621094,-13984.351265610827
298.354110717773,-13950.282126587537
297.565032958984,-14042.587451129517
296.735748291016,-14013.656702917317
295.926666259766,-14000.069525993076
295.101531982422,-14040.300736962166
294.24348449707,-13894.55094848246
293.342346191406,-13913.305072056366
292.562911987305,-13902.634943912855
291.752487182617,-13942.244949477285
290.951065063477,-14023.532257150573
290.126403808594,-13910.920130086484
289.293838500977,-13993.642744298011
288.431823730469,-13953.490050193948
287.578323364258,-13981.315514236128
286.673522949219,-13926.417171011297
285.813064575195,-13944.999704815376
284.93571472168,-13972.957486423855
284.065811157227,-13897.129643403507
283.171844482422,-13934.614535089759
282.305160522461,-13918.137180094573
281.40380859375,-13844.678220692378
280.53288269043,-13754.375959286928
279.681442260742,-13737.291175756938
278.834548950195,-13792.71941676676
278.028213500977,-13954.05289898985
277.270294189453,-13767.412811762279
276.462982177734,-13808.530732545456
275.703628540039,-13856.469198646762
274.878387451172,-13760.880292083013
274.146469116211,-13824.141644704929
273.344375610352,-13817.986079059448
272.551605224609,-13819.494976235279
271.704940795898,-13833.743236698629
270.853637695313,-13708.265159670345
270.001266479492,-13807.369919329141
269.21598815918,-13695.38009920311
268.385467529297,-13767.472046177187
267.513656616211,-13818.354463118465
266.618988037109,-13928.072113576069
265.754241943359,-13737.867364277727
264.847717285156,-13808.837992870558
263.980056762695,-13735.258713566349
263.10188293457,-13650.526902015923
262.237731933594,-13789.814153431826
261.377090454102,-13779.16200300904
260.504791259766,-13529.696316857227
259.628509521484,-13618.39951057664
258.77555847168,-13765.712362963775
257.989044189453,-13716.060228763776
257.243530273438,-13665.826006754638
256.465026855469,-13801.633083991348
255.662704467773,-13692.264613631809
254.843101501465,-13741.67974023474
254.071350097656,-13630.841933705142
253.258193969727,-13572.679564405622
252.52530670166,-13733.260550332008
251.705596923828,-13753.164479735493
250.894927978516,-13817.93173211728
250.00170135498,-13602.728877281703
249.165351867676,-13557.620590389077
248.286476135254,-13534.112164156832
247.420944213867,-13726.65507638047
246.527778625488,-13612.889728293583
245.637893676758,-13679.090237722066
244.736907958984,-13531.355023990809
243.894180297852,-13596.513024346343
242.97435760498,-13639.147887531542
242.08674621582,-13731.21181467623
241.23412322998,-13448.363614014257
240.435981750488,-13680.684342626339
239.614929199219,-13667.501648734706
238.827766418457,-13614.08172731028
237.996406555176,-13447.393257409569
237.161277770996,-13526.03815504357
236.31706237793,-13584.241480950514
235.51091003418,-13500.4186122641
234.663780212402,-13478.486455489996
233.8583984375,-13421.660331933967
233.023162841797,-13444.919884136205
232.223854064941,-13482.918991374854
231.369186401367,-13437.107151373044
230.552070617676,-13384.909919904034
229.695465087891,-13468.383683729448
228.885780334473,-13409.862123589368
228.027008056641,-13479.912811254811
227.205604553223,-13423.711421215787
226.372200012207,-13461.97642433045
225.55249786377,-13493.996488376148
224.719078063965,-13419.330650670116
223.855247497559,-13307.312403069956
222.975326538086,-13407.07753782076
222.188041687012,-13435.413252638638
221.347137451172,-13399.410425411466
220.539169311523,-13511.641683706364
219.727638244629,-13438.583610187581
218.881454467773,-13384.600958447561
218.040786743164,-13382.067331258337
217.218299865723,-13338.898834604644
216.350967407227,-13439.892453580223
215.527198791504,-13395.714715500855
214.706237792969,-13506.48612033383
213.874443054199,-13459.306512392437
213.040908813477,-13417.667245299623
212.239776611328,-13370.58177725469
211.366058349609,-13325.252510871285
210.529487609863,-13249.107541028514
209.723106384277,-13476.820885333434
208.89518737793,-13355.539515700742
208.051368713379,-13298.045907085077
207.270133972168,-13395.186727258697
206.41423034668,-13271.731335230616
205.606979370117,-13272.215548506569
204.73853302002,-13322.885913038215
203.878074645996,-13146.954425886523
203.017196655273,-13275.466906280839
202.214973449707,-13275.761965616442
201.371246337891,-13183.99166421642
200.573440551758,-13355.791066921221
199.721809387207,-13190.854172471552
198.887580871582,-13232.723531160123
198.04150390625,-13346.695290162514
197.211967468262,-13273.955180955974
196.392379760742,-13164.602630719084
195.590362548828,-13298.312276152448
194.74885559082,-13214.970249524926
193.927536010742,-13221.801030451426
193.100967407227,-13156.463098916585
192.255836486816,-13298.21503410486
191.407981872559,-13229.373337469562
190.598609924316,-13269.170171019277
189.768043518066,-13222.419095423882
188.914108276367,-13102.592269708724
188.048080444336,-13180.506192452021
187.238746643066,-13191.566587507947
186.442764282227,-13315.948988012155
185.611053466797,-13193.287621115349
184.758934020996,-13306.958132199165
183.921524047852,-13237.107081722132
183.076347351074,-12935.584234549284
182.280624389648,-13179.889062176824
181.41780090332,-13110.81241859194
180.568748474121,-13064.313998936263
179.764335632324,-13099.6430062327
178.952011108398,-13181.56633304686
178.118545532227,-13009.972927984847
177.300941467285,-13067.501991587607
176.468505859375,-12977.35476424028
175.643600463867,-13138.752267373422
174.776298522949,-13175.09008841789
173.971588134766,-13017.622651640811
173.113403320313,-13200.285533226992
172.278182983398,-13146.554336157757
171.462455749512,-13022.838088501961
170.635673522949,-13045.549310942682
169.796600341797,-13082.559170036491
168.947883605957,-13059.751643731619
168.080238342285,-13098.65697276125
167.277877807617,-13059.73683535413
166.452621459961,-13061.152253883214
165.628662109375,-13077.142391642812
164.794403076172,-13043.000561844916
163.979522705078,-13043.635260117913
163.149810791016,-13047.583680788472
162.33512878418,-13067.035005740512
161.491226196289,-13106.768918638865
160.689453125,-13001.398993105495
159.81258392334,-13079.7320155844
158.977630615234,-12984.760401179057
158.136138916016,-13001.560582134785
157.309997558594,-13114.892045342489
156.461906433105,-12930.513880604412
155.62410736084,-12938.468432487227
154.791244506836,-13040.100290903367
153.952041625977,-12998.9881787194
153.109649658203,-13009.721059286998
152.309745788574,-12902.431768442233
151.469108581543,-13002.094325820686
150.642776489258,-13007.23121004854
149.773452758789,-12984.212328970447
148.995544433594,-12879.58454065297
148.173202514648,-12769.10802588318
147.333770751953,-12878.553875874346
146.502098083496,-13012.997244956252
145.660179138184,-12926.984965704029
144.817276000977,-12891.90095201863
144.001068115234,-12799.32831036581
143.16674041748,-13064.701018787733
142.356658935547,-13057.489898956348
141.496551513672,-12773.157238431271
140.681419372559,-12948.818145603349
139.841857910156,-12912.702710339214
139.015075683594,-12916.245610792465
138.17406463623,-12916.427479555168
137.356758117676,-12972.499815721767
136.498085021973,-12849.951559031262
135.656837463379,-12939.324346788055
134.817108154297,-12836.056829338173
134.005020141602,-12921.103255817903
133.171028137207,-12912.044363328736
132.35888671875,-12881.449684296165
131.52352142334,-12693.628768669396
130.699104309082,-12897.794398381455
129.854187011719,-12844.532821673003
129.042625427246,-12873.262854697165
128.146308898926,-12955.26272483327
127.326866149902,-12795.128200541505
126.515888214111,-12897.22226416751
125.68968963623,-12770.40401513535
124.843631744385,-12791.051170696777
124.004508972168,-12763.506478730396
123.152370452881,-12844.7754473424
122.369049072266,-12789.245227605436
121.517665863037,-12846.33824856082
120.685264587402,-12834.349110172894
119.855278015137,-12762.833942156078
119.050266265869,-12689.870436856356
118.193592071533,-12860.358531319203
117.328880310059,-12772.317240315419
116.483089447021,-12687.160236383572
115.68176651001,-12721.086222907385
114.846302032471,-12699.679318915989
114.037651062012,-12757.236847003904
113.180191040039,-12840.162710766252
112.351497650146,-12766.871358822758
111.526382446289,-12737.365214549425
110.705867767334,-12683.623137633478
109.880432128906,-12783.073173425928
109.008163452148,-12868.570823951457
108.195259094238,-12857.163983680668
107.330131530762,-12626.71749493603
106.482738494873,-12778.509166951355
105.704578399658,-12709.106110862469
104.852710723877,-12727.260813301215
103.993598937988,-12802.335891451743
103.214572906494,-12720.474424125852
102.375911712646,-12703.865716230996
101.53010559082,-12787.302162762671
100.729309082031,-12510.34855149935
99.9016151428223,-12817.515221453408
99.0084381103516,-12693.598697077357
98.181037902832,-12783.366238450311
97.370491027832,-12662.482876965063
96.5390739440918,-12821.376558635578
95.7176666259766,-12641.36384025968
94.9077072143555,-12730.0117904464
94.0818252563477,-12803.98475779733
93.2550468444824,-12734.455358404437
92.4069366455078,-12867.39069539637
91.5667877197266,-12568.200215721316
90.7572402954102,-12667.556469706245
89.9437294006348,-12631.759105242012
89.0408020019531,-12821.519015361608
88.1964683532715,-12724.838990227088
87.3877563476563,-12663.44367393724
86.5658302307129,-12609.125109113895
85.7527389526367,-12795.41731884019
84.9246215820312,-12686.699547382785
84.0595436096191,-12666.27234791298
83.2624206542969,-12657.649509608558
82.3682899475098,-12685.457951439257
81.4821968078613,-12696.383460916799
80.6549987792969,-12783.368811871378
79.8509483337402,-12820.707044741252
78.9862022399902,-12648.262943811653
78.1702041625977,-12759.510560111763
77.3332366943359,-12715.686653269731
76.4851112365723,-12600.865039490747
75.6464309692383,-12737.652566246701
74.7767181396484,-12685.732674617737
73.926929473877,-12614.677690264845
73.1175193786621,-12563.15825997545
72.2516899108887,-12652.78730245869
71.4053153991699,-12584.423629215675
70.5836601257324,-12652.467365273988
69.7463264465332,-12586.868981170039
68.912654876709,-12559.021338499966
68.0414657592773,-12670.068223490185
67.1881446838379,-12515.292820769466
66.3320770263672,-12620.007026460204
65.4982185363769,-12645.340664394847
64.6666679382324,-12542.866570697015
63.8222103118897,-12684.61713294323
62.9940032958984,-12611.446802486378
62.131383895874,-12678.4445141301
61.2730255126953,-12562.686523588402
60.4746055603027,-12778.203302248305
59.6203441619873,-12654.361451144827
58.7676086425781,-12595.336635042635
57.9185619354248,-12534.670635625858
57.0843734741211,-12542.061402782809
56.2594604492188,-12539.520840654199
55.4140510559082,-12651.045136064617
54.5604190826416,-12579.386913192458
53.7140140533447,-12635.87391908491
52.874870300293,-12624.015018525677
52.0361061096191,-12630.862618484602
51.1841735839844,-12571.10259249423
50.330602645874,-12502.642009779998
49.4994773864746,-12551.003869071217
48.6277103424072,-12566.23057744962
47.7667541503906,-12615.426013497437
46.944128036499,-12529.49951207702
46.1137523651123,-12478.599699058455
45.2759780883789,-12564.588433002993
44.4301681518555,-12577.999753205995
43.5773983001709,-12574.929541229587
42.7389736175537,-12489.960639593895
41.8686618804932,-12562.876274997014
41.0295753479004,-12515.746935816462
