"FC, H = 100 Oe_x","FC, H = 100 Oe_y"
399.88639831543,-3.43656349495151e-07
399.890029907227,-3.4542234502698e-07
399.776733398438,-3.44355249895473e-07
399.439865112305,-3.45744476805821e-07
398.895248413086,-3.46394717787163e-07
398.201644897461,-3.44719465305147e-07
397.446258544922,-3.45091380080481e-07
396.608474731445,-3.41386445976216e-07
395.737106323242,-3.40129716517634e-07
394.909225463867,-3.40701873113211e-07
394.05793762207,-3.44853944273739e-07
393.179306030273,-3.46837845579642e-07
392.315902709961,-3.42653168125679e-07
391.435501098633,-3.43417728470075e-07
390.575042724609,-3.41577151863393e-07
389.726135253906,-3.45765427446226e-07
388.918350219727,-3.41312885070332e-07
388.093383789063,-3.41914044947816e-07
387.282928466797,-3.44926735392857e-07
386.454452514648,-3.42719045663893e-07
385.667984008789,-3.48572911141523e-07
384.865203857422,-3.41251393436678e-07
384.074630737305,-3.41935267516558e-07
383.265930175781,-3.45312830426278e-07
382.438552856445,-3.44316348966578e-07
381.627746582031,-3.41797205128335e-07
380.839416503906,-3.42079471480437e-07
380.026596069336,-3.43100013309516e-07
379.219970703125,-3.38126739350718e-07
378.412292480469,-3.42274021904948e-07
377.57194519043,-3.43347213745991e-07
376.768188476562,-3.42325073862098e-07
375.935592651367,-3.45636792548566e-07
375.053237915039,-3.42002485785748e-07
374.222579956055,-3.42896220639274e-07
373.423126220703,-3.4311636575373e-07
372.579849243164,-3.40950165344906e-07
371.757751464844,-3.39309222004994e-07
370.936294555664,-3.40054042246044e-07
370.115386962891,-3.42550785558929e-07
369.283416748047,-3.41264251285785e-07
368.458251953125,-3.44354916651776e-07
367.631942749023,-3.44770119492836e-07
366.784698486328,-3.40712216918973e-07
365.959320068359,-3.39843574114345e-07
365.145477294922,-3.4303065594456e-07
364.329788208008,-3.40522421666805e-07
363.480239868164,-3.4091774312151e-07
362.634948730469,-3.43185393103791e-07
361.793212890625,-3.43007553420514e-07
360.965240478516,-3.39739726908014e-07
360.085174560547,-3.42881748709699e-07
359.238906860352,-3.43296500687989e-07
358.438522338867,-3.40229404993654e-07
357.639144897461,-3.36686956419685e-07
356.811477661133,-3.39845198583917e-07
355.986221313477,-3.37766628991319e-07
355.157562255859,-3.40471220869181e-07
354.316558837891,-3.45656600357937e-07
353.479949951172,-3.42552462137963e-07
352.645538330078,-3.38413942401524e-07
351.820816040039,-3.39392332577873e-07
350.990798950195,-3.41941868518146e-07
350.151016235352,-3.35888110227002e-07
349.324905395508,-3.41633067810788e-07
348.505981445313,-3.44861176774761e-07
347.672378540039,-3.41688280698017e-07
346.833969116211,-3.40781648527862e-07
346.013427734375,-3.3540443715804e-07
345.198226928711,-3.39575765754297e-07
344.360382080078,-3.42105374221034e-07
343.523910522461,-3.42198404774269e-07
342.693771362305,-3.38223580363424e-07
341.876251220703,-3.39835593286841e-07
