Magnetic Field (T),Moment (emu),M. Std. Err. (emu),Moment (emu)_lin-part,Moment (emu)_y-lin-subtract
6.999982812500001,-0.0004150303836382,7.89838896115516e-07,-0.0004174728603660141,2.4424767278140866e-06
6.999983593750001,-0.0004149059931436,7.96816145765023e-07,-0.0004174729069590817,2.566913815481688e-06
5.5875296875,-0.0003305184316347,9.82956767835319e-07,-0.0003332353897862725,2.716958151572507e-06
4.4600453125,-0.0002632957775255,9.26620050606257e-07,-0.0002659932065328065,2.6974290073064774e-06
3.5600820312500003,-0.000209635574754,5.91266741584603e-07,-0.00021232018256810357,2.6846078141035763e-06
2.841701171875,-0.000166713747066,4.01586146550789e-07,-0.0001694765756295363,2.7628285635363154e-06
2.268290625,-0.0001325666871535,2.98591386313568e-07,-0.00013527887149510965,2.7121843416096417e-06
1.810590234375,-0.000105269520532,2.40969733855864e-07,-0.0001079820200051817,2.712499473181697e-06
1.4452598632812501,-8.34467127513498e-05,1.85108586273255e-07,-8.619403579374402e-05,2.7473230423942188e-06
1.15361572265625,-6.60737502691187e-05,1.49795457217175e-07,-6.880063400162971e-05,2.7268837325110124e-06
0.920844921875,-5.21975534039487e-05,1.2088755494893e-07,-5.491838677120681e-05,2.7208333672581103e-06
0.735039208984375,-4.11303693853118e-05,9.57301926389366e-08,-4.3837096357996154e-05,2.7067269726843525e-06
0.5867280273437501,-3.22957951332892e-05,8.02872762592806e-08,-3.4991947036599136e-05,2.696151903309934e-06
0.468326416015625,-2.52407638112813e-05,6.50583168654789e-08,-2.7930578362260348e-05,2.6898145509790495e-06
0.37383063964843805,-1.96238015840695e-05,5.62130714968832e-08,-2.2294932802949663e-05,2.6711312188801613e-06
0.2984158203125,-1.5152338093195e-05,4.64994617845724e-08,-1.7797258853530915e-05,2.6449207603359153e-06
0.238198046875,-1.15976012335208e-05,4.11809556968861e-08,-1.4205923446687628e-05,2.6083222131668275e-06
0.190149670410156,-8.77055839188482e-06,3.49652487405802e-08,-1.1340360245174911e-05,2.569801853290091e-06
0.151790222167969,-6.54392693280741e-06,3.09899984396533e-08,-9.052636259462926e-06,2.5087093266555166e-06
0.121163024902344,-4.8120521654584e-06,2.97216549710042e-08,-7.226056967776325e-06,2.414004802317925e-06
0.0967186889648438,-3.44712184495321e-06,2.55750865504139e-08,-5.768218124893315e-06,2.321096279940105e-06
0.0771948608398438,-2.42838330786368e-06,2.42709613934425e-08,-4.6038340698234385e-06,2.1754507619597584e-06
0.0616445007324219,-1.66493856710204e-06,2.30272279413352e-08,-3.6764241764485074e-06,2.0114856093464677e-06
0.049212548828125,-1.11983180447786e-06,2.08235212939985e-08,-2.9349934243398514e-06,1.8151616198619913e-06
0.0392807342529297,-7.15511875454216e-07,2.04379041207397e-08,-2.3426686786379633e-06,1.6271568031837472e-06
0.03135588989257811,-3.91606270431476e-07,2.39871373727253e-08,-1.8700378834360705e-06,1.4784316130045946e-06
0.0250282806396484,-1.9429057538117e-07,1.87738965426085e-08,-1.4926647948362158e-06,1.298374219455046e-06
0.019989993286132803,-3.01782593437216e-08,1.87832322386433e-08,-1.1921857380788075e-06,1.1620074787350858e-06
0.015983406066894502,8.0644034972818e-08,1.86260798525974e-08,-9.532363761268808e-07,1.033880411099699e-06
0.0127668518066406,1.642028737267e-07,1.80647016226632e-08,-7.614038897452316e-07,9.256067634719316e-07
0.010198023986816402,2.23448954729817e-07,1.75312263634394e-08,-6.082012424737602e-07,8.316501972035772e-07
0.008149341583251951,2.66406708579581e-07,1.78168540542641e-08,-4.860196134745715e-07,7.524263220541525e-07
0.00649812774658203,2.95957616142277e-07,1.80499578525348e-08,-3.8754266261126785e-07,6.835002787535449e-07
0.00520880661010742,3.27236297334564e-07,1.72561482138655e-08,-3.106486762698671e-07,6.378849736044311e-07
0.00415379638671875,3.51081970049116e-07,1.67244942113823e-08,-2.4772878811143375e-07,5.988107581605497e-07
0.00332818984985352,3.75832598300459e-07,1.71575231876896e-08,-1.9849033543030345e-07,5.743229337307625e-07
0.0026608341217041003,3.87481160517029e-07,1.69530889032763e-08,-1.5868982274694715e-07,5.461709832639762e-07
0.0021259685516357403,4.01852200741649e-07,1.66120160616541e-08,-1.2679090735975498e-07,5.286431081014039e-07
0.0017051910400390602,4.06331221371026e-07,1.64789837799507e-08,-1.0169610412248493e-07,5.080273254935109e-07
0.0013690598487854002,4.22000014239616e-07,1.66771325887283e-08,-8.16495334908658e-08,5.036495477304818e-07
