Magnetic Field (T),Moment (muB/f.u.),M. Std. Err. (muB/f.u.),Moment (muB/f.u.)_lin-part,Moment (muB/f.u.)_y-lin-subtract
6.99997421875,-6.649317666672544,0.014084335370723778,-6.92690558270416,0.2775879160316164
6.999972656250001,-6.649388952577957,0.01413809492468043,-6.926904036514184,0.2775150839362272
5.587527343750001,-5.240726713592089,0.018626968795460518,-5.529202414383396,0.28847570079130663
4.4600437500000005,-4.124882215384235,0.015934099686745192,-4.413487962316618,0.2886057469323836
3.560084765625,-3.241834278633132,0.010251713789802842,-3.522923123324231,0.28108884469109874
2.8417230468750003,-2.543579780474153,0.0070815547304116065,-2.812059962331203,0.26848018185704975
2.2682882812500003,-1.9939013230909386,0.005228799825210452,-2.244610946778432,0.2507096236874932
1.810596484375,-1.5620710736669339,0.004171303831999486,-1.7916967268318502,0.22962565316491637
1.44525751953125,-1.224067557168667,0.0033140846648025486,-1.4301713217272243,0.20610376455855722
1.1536231445312501,-0.9585823126128795,0.0026596283124483725,-1.1415811473684572,0.18299883475557777
0.92084736328125,-0.7504427867392137,0.002121671316824959,-0.9112351763304553,0.16079238959124148
0.7350453125,-0.587479491436909,0.0017052699959487232,-0.7273726044673905,0.1398931130304814
0.586720703125,-0.45860487789616344,0.0014127362398816724,-0.5805962689231758,0.12199139102701241
0.46832280273437504,-0.35669482681397485,0.001170739356483711,-0.4634342549546838,0.10673942814070903
0.373828198242188,-0.27671993944151424,0.000977022836788326,-0.36992602436162353,0.0932060849201093
0.29841335449218803,-0.21311767358765238,0.0008173278388712243,-0.29529839204958325,0.08218071846193088
0.238220092773438,-0.1632200744473197,0.0007092443081702867,-0.23573345257824355,0.07251337813092386
0.190153332519531,-0.12419632820594832,0.0006239898138564966,-0.18816843311667947,0.06397210491073113
0.151790222167969,-0.09349617431233327,0.0005730020614260652,-0.15020577283254144,0.05670959852020818
0.12115198974609401,-0.06959785121230339,0.0004998488506471554,-0.1198873549962581,0.05028950378395471
0.0967051940917969,-0.05109866594025916,0.0004511805823743296,-0.0956957451409838,0.04459707920072466
0.07720099487304691,-0.03662164805436684,0.00042038587996152515,-0.07639513884837104,0.039773490794004204
0.0616543151855469,-0.025529566057380645,0.00039946911662691684,-0.061010741855679305,0.03548117579829866
0.0492039642333984,-0.01729074554526028,0.00037546484500661416,-0.04869035283395175,0.03139960728869146
0.0392930023193359,-0.010606171978450683,0.00036892856700761553,-0.038882845653625694,0.02827667367517501
0.031374291992187504,-0.005470693472297196,0.00035568068802296383,-0.031046794111319245,0.025576100639022048
0.0250393203735352,-0.0016866985174515024,0.00033898701631429905,-0.024777949555581567,0.023091251038130062
0.019985086059570303,0.001229663848835738,0.00031740268480214267,-0.019776473437009487,0.021006137285845224
0.0159527374267578,0.003501965259350454,0.0003191054357709937,-0.01578621613274384,0.019288181392094293
0.012750904083252001,0.004981309038004785,0.0006698940780707835,-0.012617804854512138,0.01759911389251692
0.010199251556396501,0.006634960794728005,0.0003067135733676203,-0.010092787535726525,0.01672774833045453
0.00814320831298828,0.007659222780656721,0.00030036876188947227,-0.0080582061249983,0.015717428905655022
0.006505488586425781,0.008280495184531549,0.00032370380464877296,-0.006437581596633067,0.014718076781164617
0.00519285926818848,0.008859626583262448,0.0003017542231417341,-0.005138654047990928,0.013998280631253376
0.00415870361328125,0.009573591186819101,0.0003013522801854273,-0.004115293339008036,0.013688884525827137
0.00333064308166504,0.009948530273393123,0.00029438899003170525,-0.003295876446885028,0.013244406720278152
0.0026645145416259804,0.010366059322836425,0.00029591533665339554,-0.0026367012330055836,0.01300276055584201
0.00212719535827637,0.010580751531988522,0.00028882478516669433,-0.002104990810291613,0.012685742342280135
0.0017064178466796901,0.010687027611342444,0.0002996082817289971,-0.001688605548993338,0.01237563316033578
0.0013580190658569302,0.010907267851859548,0.00029502247995758077,-0.0013438434992383247,0.012251111351097873
0.00110285387039185,0.0110448139635089,0.000296160574441386,-0.001091341823982942,0.012136155787491843
0.000874677181243896,0.011129233111224365,0.0003084880138929857,-0.000865546937814896,0.011994780049039262
0.00069925103187561,0.01125744449779522,0.0002891698032284954,-0.0006919519593996087,0.01194939645719483
0.000576575422286987,0.011282395988109858,0.0002853765944638296,-0.0005705568887370753,0.011852952876846934
0.00046862087249755906,0.011296080665110649,0.00029727737285640583,-0.000463729213341974,0.011759809878452623
0.000369253611564636,0.011445934234163393,0.00029373612925812244,-0.0003653991891183707,0.011811333423281764
0.000323863649368286,0.01145200706395463,0.0002915516812249335,-0.00032048302618530597,0.011772490090139935
0.000257618808746338,0.011506739036836392,0.00028313625144091824,-0.00025492967670290447,0.011761668713539297
0.00021345558166503903,0.011504483459132225,0.0002900280714678059,-0.00021122744371463654,0.011715710902846862
0.000182786679267883,0.011513683632030319,0.00029290261664150153,-0.00018087867604900292,0.011694562308079321
-7.23786175251007e-05,0.011617654040923436,0.0002885642522934033,7.162309947658038e-05,0.011546030941446857
-0.00010427428483963,0.011669542962167784,0.00028496418275594283,0.00010318582657824404,0.01156635713558954
-0.000153344523906708,0.011719691959495706,0.0002946713048888827,0.00015174385012466047,0.011567948109371045
-0.000191373956203461,0.011663618248047404,0.00028816475267170213,0.00018937631542400964,0.011474241932623395
-0.000246578001976013,0.011709802897698487,0.0002878196836573158,0.0002440041184558373,0.01146579877924265
-0.000301782035827637,0.011800530168148922,0.0002919558594946177,0.00029863190969117243,0.01150189825845775
-0.000412190103530884,0.011780797848482665,0.0002875254288207931,0.00040788749216184194,0.011372910356320824
-0.000510330581665039,0.011813739439602622,0.00028933853907754425,0.0005050035392546738,0.011308735900347948
-0.0006465005397796631,0.011871952899690228,0.00028489316594607837,0.0006397520988328285,0.0112322008008574
-0.0008231534004211429,0.011930931900599196,0.00029015478388625787,0.0008145609835999265,0.01111637091699927
-0.00103170204162598,0.012056323133419733,0.0002827015983756622,0.0010209327075353782,0.011035390425884355
-0.0013015884399414101,0.012124831580453447,0.00028567524414627117,0.0012880019196161204,0.010836829660837327
-0.0016340393066406201,0.012273616698796185,0.0002842829145865778,0.001616982526193957,0.01065663417260223
-0.00205358982086182,0.012423011982895025,0.0002874001447218494,0.0020321535980245896,0.010390858384870437
-0.0025970428466796903,0.012515846901448302,0.0002884756013851439,0.00256993383561345,0.009945913065834852
-0.0032680786132812502,0.012774130443101307,0.0002859116922742634,0.0032339650523879244,0.009540165390713382
-0.00408019142150879,0.01308418595805531,0.0002855549608367477,0.004037600690077664,0.009046585267977648
-0.0051511497497558605,0.013375941026861831,0.00028636410931424385,0.005097379910822119,0.008278561116039713
-0.00643801651000977,0.013255492587936216,0.00028200053333580745,0.006370813821753153,0.006884678766183063
-0.00806469573974609,0.013950291192334338,0.00027323442838651996,0.007980513098580137,0.0059697780937542
-0.010118285369873,0.01478989877553436,0.00027958455104561407,0.010012666507860788,0.004777232267673573
-0.012690792846679701,0.015770111058881875,0.00026669281951367487,0.012558321083974726,0.0032117899749071503
-0.015892626953125,0.01725450575990486,0.00026124544386233335,0.01572673311718205,0.001527772642722811
-0.0199200668334961,0.01910877813306711,0.0002571874036139727,0.01971213290860152,-0.0006033547755344117
-0.0249902496337891,0.02161970569124943,0.0002748951378375194,0.024729391036582424,-0.003109685345332994
-0.031308047485351605,0.025046550525750253,0.00028315828159856536,0.030981241092138696,-0.0059346905663884425
-0.0392144897460937,0.02989451764523143,0.00021792316284003854,0.038805152627207525,-0.00891063498197609
-0.0491377197265625,0.03603673718224914,0.0002117113151018946,0.04862479981477119,-0.012588062632522054
-0.061577032470703105,0.04420209973107313,0.00022327011939946836,0.060934265849887155,-0.01673216611881403
-0.0771322937011719,0.055019555254058494,0.00017393849255548942,0.07632715480784064,-0.021307599553782145
-0.09666348266601561,0.069082869468677,0.00015809303650707684,0.09565446911637604,-0.026571599647699035
-0.12108575439453101,0.08741721651817497,0.0003429990903430356,0.11982181103678391,-0.032404594518608935
-0.151720300292969,0.11092797859292212,8.905589160702175e-05,0.15013658083109188,-0.03920860223816976
-0.190076062011719,0.14125344487126562,0.00014104581008563962,0.18809196919049703,-0.0468385243192314
-0.238126879882813,0.18021567255499743,0.00024679904263587955,0.2356412126824564,-0.05542554012745897
-0.29835937500000004,0.22973466998819145,0.0003855620067696714,0.29524497601773747,-0.06551030602954602
-0.373780322265625,0.2928313348118013,0.0005662151911083388,0.3698786481343736,-0.07704731332257231
-0.468288427734375,0.3728458117496006,0.0008160102828293607,0.46340023877520026,-0.09055442702559965
-0.5866581542968751,0.4744224464520856,0.0010580786557105935,0.5805343730056781,-0.10611192655359254
-0.734990087890625,0.602883953601388,0.001405170592170732,0.7273179563154076,-0.12443400271401958
-0.9207946289062501,0.7661845003520642,0.0018033104207933876,0.9111829924187475,-0.14499849206668325
-1.15357646484375,0.9732658743907255,0.002389923972955693,1.1415349549429084,-0.1682690805521829
-1.4451764648437502,1.238052697507569,0.003109424719800802,1.4300911131221923,-0.19203841561462331
-1.810515625,1.575020129639106,0.003888165209688708,1.791616711500565,-0.21659658186145905
-2.2682427734375,2.007007001910579,0.005052401503177797,2.2445659139953653,-0.2375589120847863
-2.8416470703125003,2.5557068332769113,0.006905207768921775,2.8119847788435943,-0.2562779455666831
-3.560016015625,3.254078459293718,0.009956153768906507,3.5228550909652636,-0.2687766316715457
-4.4599730468750005,4.1363981966274705,0.015757592185124115,4.41341799722018,-0.2770198005927096
-5.587447265625,5.251648676959731,0.01869982769109759,5.529123172147099,-0.277474495187367
-6.9999484375000005,6.652911844205103,0.014584250266080397,6.926880070569548,-0.2739682263644455
-5.587521484375,5.248211701953314,0.01862842472630609,5.529196616170983,-0.2809849142176694
-4.46006015625,4.129975007005741,0.015563910564706426,4.413504197311371,-0.2835291903056306
-3.560084765625,3.2492007013184803,0.010221501422796878,3.522923123324231,-0.27372242200575064
-2.8417171875,2.5519882070082174,0.007092208039960147,2.8120541641187904,-0.2600659571105729
-2.2682978515625,2.0023057046303494,0.005313043763348981,2.2446204171920376,-0.24231471256168818
-1.8106001953125002,1.5707098364292864,0.004048135490119687,1.7917003990330445,-0.2209905626037581
-1.4452427734375,1.2334566754965475,0.0033414879443141427,1.4301567295593207,-0.1967000540627733
-1.15361572265625,0.9688373931109291,0.0025937335710602503,1.1415738029660687,-0.17273640985513955
-0.92083876953125,0.7611019270157161,0.002104194819994602,0.9112266722855842,-0.15012474526986813
-0.735033056640625,0.5972253346888261,0.0017394095543559938,0.727360476539762,-0.1301351418509359
-0.5867255859375,0.4688201107455745,0.0014778154520548705,0.5806011007668525,-0.11178099002127792
-0.46833623046875,0.3666392307428075,0.0011987093741236544,0.4634475425247946,-0.09680831178198705
-0.373828198242188,0.28625940005897077,0.000996749907941174,0.36992602436162353,-0.0836666243026528
-0.298412133789063,0.22281951445909148,0.0008597946811939185,0.2952971840886641,-0.0724776696295726
-0.23820046386718702,0.1728064714049309,0.0007427146417776104,0.23571402856666246,-0.06290755716173156
-0.190158239746094,0.13339300086220204,0.000652845294137379,0.18817328911957495,-0.0547802882573729
-0.151787768554687,0.1029937727460061,0.0005780957580501378,0.15020334483109318,-0.047209572085087075
-0.12115076904296901,0.07892884310156795,0.000508037938785422,0.11988614703533895,-0.040957303933771005
-0.0967101013183594,0.060326249060746885,0.0007895984613882032,0.09570060114387884,-0.03537435208313196
-0.07721448974609371,0.04598031353201137,0.0004547888110571801,0.0764084928563323,-0.030428179324320938
-0.06164327392578121,0.035289742293690314,0.000395538665613535,0.060999815849165424,-0.025710073555475107
-0.049202737426757806,0.026540726647268132,0.00037666088945631157,0.048689138833228014,-0.022148412185959882
-0.0392770538330078,0.020073284993853142,0.0003458437114901356,0.03886706364421688,-0.018793778650363736
-0.031350979614257805,0.015068491417608526,0.00036594601770189813,0.03102372507766555,-0.015955233660057022
-0.025036868286132802,0.011097822708833806,0.0003448117342902686,0.024775523064085148,-0.013677700355251341
-0.0199777252197266,0.008123771077748521,0.00033369137064703856,0.019769189432666992,-0.01164541835491847
-0.015983406066894502,0.00600719472226138,0.0003226587850917537,0.015816564640886602,-0.009809369918625225
-0.0127570381164551,0.004173510743982888,0.00030630085677434214,0.012623874858130898,-0.008450364114148009
