Magnetic Field (T),Moment (muB/f.u.),M. Std. Err. (muB/f.u.),Moment (muB/f.u.)_lin-part,Moment (muB/f.u.)_y-lin-subtract
6.99997734375,-6.543317051536597,0.013405208866409052,-6.555127411737737,0.011810360201139637
6.99997421875,-6.544424729705268,0.013146700183205701,-6.555124485332099,0.010699755626831101
5.5875296875,-5.220894217330369,0.01684701756155204,-5.232441080846125,0.011546863515755795
4.460053515625,-4.1656205009485,0.015189757334793903,-4.176616240650342,0.010995739701842304
3.560080859375,-3.3222511829057613,0.009091118486563904,-3.3338370230767076,0.011585840170946337
2.8417267578125003,-2.649927338549211,0.006827546600981401,-2.6611344654475797,0.011207126898368605
2.2682968750000003,-2.1121199982880268,0.00489310310039196,-2.1241461640654395,0.012026165777412934
1.8105941406250001,-1.6827939643658694,0.003906139384197572,-1.695530528158028,0.012736563792158536
1.4452402343750002,-1.3407515233378902,0.0029921860989844348,-1.353394934250259,0.01264341091236884
1.1536341796875,-1.067566591532831,0.002443557067408505,-1.0803205014854957,0.012753909952664687
0.9208375976562501,-0.8497369405747568,0.0019623888890605043,-0.862318187864522,0.012581247289765111
0.7350404296875,-0.6753622925335103,0.001653977454489666,-0.6883284663316901,0.012966173798179825
0.58673544921875,-0.5367006711131593,0.0013333061545295615,-0.5494482964357212,0.012747625322561875
0.46833383789062505,-0.42566792936758757,0.0011078169975506998,-0.4385711307111934,0.012903201343605807
0.373850268554687,-0.3374051146774789,0.0009158516714594513,-0.35009201072292295,0.012686896045444046
0.298420727539063,-0.26682785242459284,0.0007750202169468226,-0.27945603182110734,0.012628179396514484
0.238204150390625,-0.2105324270824969,0.0006818789411759159,-0.2230662299513652,0.01253380286886833
0.19015948486328102,-0.165733216433489,0.000602319973434999,-0.1780748123338125,0.0123415959003235
0.151777954101562,-0.13039760980649273,0.0007600472939847572,-0.14213243537380144,0.011734825567308697
0.12115198974609401,-0.10185340893306145,0.0004752105049232363,-0.113452757055031,0.011599348121969548
0.09670150756835941,-0.07964147039005205,0.00042494452570469756,-0.09055610781136207,0.010914637421310023
0.077197314453125,-0.061607292935807155,0.0003838301203833966,-0.072291409990925,0.010684117055117844
0.0616457275390625,-0.04743039348653796,0.0003654906978744604,-0.057728129472965406,0.010297735986427446
0.0492101013183594,-0.03655016901635354,0.0003418275043521643,-0.046082789735653426,0.009532620719299886
0.039284414672851604,-0.027564343923465972,0.00033458612519675265,-0.036787882421648974,0.009223538498183002
0.031359567260742204,-0.02039374484334517,0.0003124554866338794,-0.02936666061564701,0.008972915772301839
0.025034414672851602,-0.014878391659141748,0.0003192970066370459,-0.023443472714285374,0.008565081055143624
0.019980178833007803,-0.010391489990349674,0.000295641931860623,-0.018710434552564912,0.008318944562215236
0.015958871459960902,-0.006921494102411809,0.00029303258589879317,-0.01494468205114878,0.00802318794873697
0.0127570381164551,-0.003939255936020648,0.0002890522437687856,-0.011946325844100412,0.008007069908079763
0.0101955703735352,-0.0019047066671700316,0.0002891391650965946,-0.00954763987822539,0.007642933211055359
0.00814811477661133,-6.258584031545643e-05,0.0002866288909728473,-0.007630300485735088,0.0075677146454196315
0.006483406829833981,0.0016452912825222995,0.00028157817039756487,-0.0060713850552157195,0.007716676337738019
0.00520144653320313,0.002658846302881182,0.00027817114557600705,-0.004870893586667268,0.00752973988954845
0.00414888954162598,0.0036109667956159353,0.00027516589373889286,-0.0038852267981791602,0.0074961935937950955
0.00333309669494629,0.004260274884112361,0.0002764474383236265,-0.0031212777467805467,0.007381552630892908
0.0026632877349853502,0.004837812577889317,0.0002728285559940742,-0.0024940352774905903,0.007331847855379907
