Magnetic Field (Oe),Moment (emu/cm3),M. Std. Err. (emu/cm3),Moment (emu/cm3)_lin-part,Moment (emu/cm3)_y-lin-subtract
69999.65625,-1571.7850691200267,3.4200770552833664,-1589.799257666047,18.014188546020453
69999.59375,-1571.7654941199237,3.400761735290406,-1589.7978381954533,18.03234407552977
55875.3359375,-1240.2970422407939,4.165802892967334,-1269.0143402708281,28.717298030034186
44600.55078125,-977.6945437150329,3.9038317965919935,-1012.9467246280668,35.25218091303395
35600.8828125,-769.8592865717051,2.4727646793599973,-808.5505000971834,38.691213525478275
28417.267578125,-605.8699596154877,1.6727568380064184,-645.3996108102396,39.52965119475181
22682.9921875,-476.6975392470308,1.261713373569268,-515.1654461350622,38.467906888031415
18105.927734375,-375.4310727666191,0.9825571902547129,-411.2133118005771,35.78223903395798
14452.4404296875,-295.66340175759336,0.7485358559956363,-328.23702711511464,32.57362535752126
11536.1455078125,-233.0470917594315,0.6265490204170315,-262.0035089764861,28.95641721705458
9208.5478515625,-183.67072185828124,0.49349343912731736,-209.14020615060284,25.46948429232157
7350.30615234375,-144.80105332980796,0.400429727469249,-166.9366949871882,22.135641657380216
5867.244140625,-113.99839528254546,0.3329755279020317,-133.25408836291376,19.25569308036831
4683.4609375,-89.5886237626422,0.2820597205957729,-106.36856122769073,16.77993746504853
3738.44140625,-70.21504485296968,0.22911751859064744,-84.90572226894704,14.690677415977351
2984.0107421875,-54.82397520326713,0.19472550833457447,-67.77144798903491,12.947472785767783
2382.18896484375,-42.59657549332827,0.1708382305396612,-54.1031549412622,11.506579447933934
1901.54577636719,-32.856083454333884,0.1490236821293395,-43.18701298888972,10.330929534555835
1517.79187011719,-25.09987825167173,0.13181432313034439,-34.47137482769953,9.3714965760278
1211.642578125,-18.944304236720285,0.1205181357858521,-27.51825615228932,8.573951915569037
967.284973144531,-14.075562980849758,0.10894622901014761,-21.96852119908371,7.892958218233953
772.206237792969,-10.218985375365639,0.10108553211005333,-17.537984747008714,7.318999371643074
616.408203125,-7.115479549167947,0.1063564472606546,-13.999573087151939,6.884093537983991
492.223663330078,-4.778075831428955,0.09004356121372473,-11.17915224859151,6.401076417162556
392.782806396484,-2.8174442691617303,0.08614737518930118,-8.92069829318793,6.1032540240262
313.632507324219,-1.3109011563740356,0.0848476416475927,-7.123073941152166,5.812172784778131
250.295074462891,-0.04364224452646303,0.08751976554623538,-5.68458396649015,5.640941721963688
200.108474731445,0.9375865988824686,0.09136371782224863,-4.544769526360869,5.482356125243338
159.613250732422,1.6814764389170953,0.07486755442401846,-3.625061052040082,5.306537490957178
127.60718536377,2.2876363603184418,0.074312871505193,-2.89815435435335,5.185790714671792
101.931167602539,2.8043919599431555,0.07169147694569154,-2.315012719616747,5.119404679559903
81.3830108642578,3.1619153662984507,0.07133705971249296,-1.8483326517567704,5.010248018055221
65.1530227661133,3.351507233702794,0.13232297595860112,-1.4797247983380772,4.831232032040871
52.0144653320313,3.7292481142528033,0.07071182563354893,-1.1813280636325938,4.910576177885398
