Magnetic Field (Oe),Moment (muB/f.u.),M. Std. Err. (muB/f.u.),Moment (muB/f.u.)_lin-part,Moment (muB/f.u.)_y-lin-subtract
69999.828125,-2.050594059437113,0.0039024587407045204,-2.060957475600624,0.010363416163511099
69999.8359375,-2.049979467302818,0.003936932136500431,-2.060957705618764,0.010978238315945852
55875.296875,-1.6330349756643825,0.004856621077081759,-1.6450984792462364,0.012063503581853837
44600.453125,-1.300899352321471,0.004578271003852397,-1.3131408997033727,0.01224154738190183
35600.8203125,-1.035773478724343,0.0029213477269005657,-1.0481708130702845,0.012397334345941287
28417.01171875,-0.8237040776707497,0.0019841683860600473,-0.836662807677263,0.012958730006513274
22682.90625,-0.6549893016825497,0.0014752889116365373,-0.6678374284120517,0.01284812672950201
18105.90234375,-0.5201186755302506,0.0011905901934633593,-0.5330798058705436,0.01296113034029303
14452.5986328125,-0.41229591902997087,0.0009145898284247969,-0.4255180618581023,0.013222142828131406
11536.1572265625,-0.3264590861971663,0.0007401137044654984,-0.3396512550478229,0.013192168850656633
9208.44921875,-0.2578991735231524,0.0005972847092907082,-0.2711181264928504,0.013218952969698022
7350.39208984375,-0.20321811233343046,0.00047298648984046507,-0.21641261031537953,0.013194497981949063
5867.2802734375,-0.1595679937082692,0.0003966856843165198,-0.1727463547394973,0.013178361031228073
4683.26416015625,-0.1247102919871738,0.00032144200362358544,-0.13788617114674523,0.013175879159571422
3738.30639648438,-0.09695784342127797,0.0002777391608386638,-0.11006442044631967,0.013106577025041704
2984.158203125,-0.07486510796658813,0.00022974587852244878,-0.08786054654481187,0.012995438578223743
2381.98046875,-0.05730176182452719,0.00020346805063696806,-0.07013103582252532,0.01282927399799813
1901.49670410156,-0.0433338272217282,0.0001727573068883514,-0.05598447813543196,0.012650650913703763
1517.90222167969,-0.03233242245103498,0.00015311627583805025,-0.044690565888465206,0.012358143437430223
1211.63024902344,-0.02377552577642719,0.00014684960793933326,-0.03567320786744724,0.011897682091020047
967.186889648438,-0.017031638781364496,0.00012636212339476948,-0.028476227783935916,0.01144458900257142
771.948608398438,-0.011998226109350264,0.00011991866430099072,-0.022727959451804145,0.010729733342453881
616.445007324219,-0.008226176370748345,0.00011377359028000596,-0.01814957236570401,0.009923395994955666
492.12548828125,-0.0055328971958661325,0.00010288545307868231,-0.014489317062260278,0.008956419866394146
392.807342529297,-0.0035352216587163547,0.00010098018465527272,-0.011565160240264083,0.008029938581547729
313.558898925781,-0.0019348595270199309,0.00011851633841413323,-0.009231902050219338,0.007297042523199407
250.282806396484,-0.0009599564643646861,9.2758608141615e-05,-0.007368906962686023,0.0064089504983213365
199.899932861328,-0.00014910561196004982,9.280473421716122e-05,-0.005885518179657913,0.005736412567697863
159.834060668945,0.0003984483680319125,9.20282711870882e-05,-0.004705885871648572,0.005104334239680484
127.668518066406,0.0008112982824409335,8.925459747840881e-05,-0.003758857610878066,0.004570155893318999
101.980239868164,0.0011040230239042705,8.661878757015248e-05,-0.003002535054007854,0.004106558077912124
81.4934158325195,0.0013162699299714628,8.803002508216666e-05,-0.0023993553851638307,0.0037156253151352935
64.9812774658203,0.0014622759042036161,8.918175103479672e-05,-0.0019131996914065381,0.0033754755956101543
52.0880661010742,0.001616818512090957,8.525967353504866e-05,-0.0015335936115284325,0.0031504121236193895
41.5379638671875,0.0017346358978522084,8.263286214449179e-05,-0.0012229741050283282,0.0029576100028805364
