Magnetic Field (Oe),Moment (emu/cm3),M. Std. Err. (emu/cm3),Moment (emu/cm3)_lin-part,Moment (emu/cm3)_y-lin-subtract
69999.828125,-1708.611941451185,3.25163704376409,-1717.2470277227526,8.635086271567504
69999.8359375,-1708.0998462098355,3.2803612349067457,-1717.2472193802575,9.147373170422123
55875.296875,-1360.6901119149466,4.046671611680777,-1370.7417582565693,10.051646341622854
44600.453125,-1083.945482906898,3.814742597337466,-1094.145480289266,10.199997382368018
35600.8203125,-863.0352391017066,2.434148089107277,-873.3650425107014,10.329803408994911
28417.01171875,-686.3331222741402,1.6532642249059881,-697.1306961446352,10.797573870494968
22682.90625,-545.7552835614748,1.2292517087485564,-556.4606997087016,10.705416147226739
18105.90234375,-433.3773307754061,0.9920328270552853,-444.1769046706942,10.799573895288116
14452.5986328125,-343.536414447417,0.762061654857887,-354.5534711992149,11.017056751797977
11536.1572265625,-272.01478054843955,0.6166833009496512,-283.00686214944625,10.992081601006676
9208.44921875,-214.8887565260028,0.4976742139887199,-225.90315539913107,11.014398873128265
7350.39208984375,-169.326977152845,0.3941054841972648,-180.32099945075416,10.994022297909186
5867.2802734375,-132.95648559432374,0.33052953318902706,-143.93706213656344,10.980576542239698
4683.26416015625,-103.91208007773123,0.26783440795981517,-114.8905886555534,10.978508577822174
3738.30639648438,-80.78796889347484,0.23141998516655982,-91.70873300740344,10.920764113928605
2984.158203125,-62.379687915831305,0.19143064895565104,-73.20784838814025,10.828160472308952
2381.98046875,-47.745419952330344,0.1695352326913242,-58.435127479887456,10.689707527557108
1901.49670410156,-36.10694877373797,0.14394618777126944,-46.64782258482173,10.54087381108376
1517.90222167969,-26.940272669592684,0.12758073501843645,-37.23742112478523,10.297148455192543
1211.63024902344,-19.810428626246477,0.12235917322000044,-29.72390789473072,9.91347926848424
967.186889648438,-14.191234618279617,0.10528843189894777,-23.727184137299535,9.535949519019917
771.948608398438,-9.997255337945619,0.09991956276504191,-18.937567260304366,8.940311922358747
616.445007324219,-6.8542786978532355,0.09479931636374388,-15.122727940013002,8.268449242159768
492.12548828125,-4.610163662657666,0.08572701794528109,-12.072901529250503,7.462737866592837
392.807342529297,-2.9456449041980037,0.08413949536131288,-9.63641282406518,6.6907679198671755
313.558898925781,-1.6121787136183945,0.09875110587565222,-7.69227727580676,6.080098562188366
250.282806396484,-0.7998623963325994,0.0772890493921842,-6.139978009759882,5.340115613427282
199.899932861328,-0.12423893844804186,0.07732748291983822,-4.90397726313122,4.779738324683178
159.834060668945,0.3319982502328812,0.07668051235090839,-3.921074850676341,4.253073100909222
127.668518066406,0.6759962690216341,0.07436941035657234,-3.1319845927593732,3.807980861781007
101.980239868164,0.9199026563052101,0.07217318031098333,-2.5017956256597307,3.421698281964941
81.4934158325195,1.0967526752416832,0.07334906261404295,-1.9992095675930408,3.095962242834724
64.9812774658203,1.2184089094184025,0.07430871267588071,-1.5941311368156645,2.8125400462340675
52.0880661010742,1.347178103927725,0.0710407287370186,-1.2778328045629888,2.625010908490714
41.5379638671875,1.4453468230341742,0.06885199650638028,-1.0190160018851164,2.46436282491929
33.2818984985352,1.5472410954918963,0.07063470569848132,-0.8164768800791954,2.3637179755710918
26.608341217041,1.595196313443647,0.06979308331766042,-0.6527601008676973,2.2479564143113446
21.2596855163574,1.6543595263236617,0.068388942432861,-0.5215460200572485,2.1759055463809105
17.0519104003906,1.672798918799638,0.06784127037298822,-0.41832020501215267,2.0911191238117905
13.690598487854,1.7373047662238985,0.06865701648269201,-0.3358599612420533,2.073164727465952
11.0040035247803,1.7407496302553018,0.07119409634227951,-0.2699519820568083,2.0107016123121104
8.79584217071533,1.7633385047277994,0.0660873554045376,-0.21578101301915653,1.9791195177469558
7.1397213935852,1.7701523736885165,0.06752479245124268,-0.17515279208984105,1.9453051657783575
5.76575422286987,1.7763642492114657,0.0682729210243688,-0.1414464087557814,1.9178106579672471
4.55126571655273,1.812849335498158,0.06907289328790227,-0.11165238163399618,1.9245017171321543
3.61893105506897,1.8031375550125197,0.06951421031942119,-0.08878019795638968,1.8919177529689093
3.20183372497559,1.8091312612150514,0.06845897177760278,-0.07854789925567122,1.8876791604707226
2.67432856559753,1.8197723375965544,0.06824549244716578,-0.06560705795199281,1.8853793955485474
2.06095051765442,1.8251830733888108,0.06996947259808281,-0.0505595691521667,1.8757426425409776
1.77879655361176,1.6958499520709456,0.16467516261561888,-0.043637722783526775,1.7394876748544723
-0.797391533851624,1.85571290616313,0.06825889340162987,0.019561737194450972,1.836151168968679
-1.07954549789429,1.8547909533915568,0.06694925202471708,0.026483583563091048,1.8283073698284658
-1.43530476093292,1.8708687420730825,0.0661995007132694,0.035211126950011676,1.8356576151230708
-1.93827474117279,1.87281080390055,0.0660694990689286,0.047550067297955405,1.8252607366025946
-2.61299085617065,1.8435515207268893,0.06729270105381159,0.06410231141157932,1.77944920931531
-3.00555276870728,1.8480198019319654,0.06549296050422676,0.07373270330764067,1.7742870986243247
-4.15870380401611,1.8730919997643238,0.06697797444570307,0.10202198973793508,1.771070010026389
-5.10330581665039,1.8780577497749824,0.06658214539643442,0.12519511804448616,1.7528626317304963
-6.47727298736572,1.8938385167882468,0.06804215335314177,0.1589015013785458,1.734937015409701
-8.10885810852051,1.8942545179804247,0.06603585227381488,0.19892780965428103,1.6953267083261438
-10.3660898208618,1.8904618824951982,0.06899522852491345,0.25430258060340066,1.6361593018917975
-13.0894889831543,1.9416090260432808,0.06859918261708117,0.32111344631578603,1.6204955797274947
