Magnetic Field (Oe),Moment (muB/f.u.),M. Std. Err. (muB/f.u.),Moment (muB/f.u.)_lin-part,Moment (muB/f.u.)_y-lin-subtract
69999.65625,-1.8863810132990118,0.0041046123594481575,-1.9080007779289343,0.021619764629922544
69999.59375,-1.8863575203232512,0.004081431039294178,-1.9079990743484452,0.021641554025193962
55875.3359375,-1.4885449908516029,0.0049995967240223154,-1.5230101138645311,0.03446512301292822
44600.55078125,-1.173382073862442,0.004685191585594429,-1.2156900497162646,0.04230797585382266
35600.8828125,-0.9239481718157796,0.0029676935053929536,-0.9703835095791177,0.04643533776333809
28417.267578125,-0.7271360511057376,0.0020075624848936886,-0.7745776415248778,0.047441590419140284
22682.9921875,-0.5721095108922243,0.0015142478439873516,-0.6182768467453145,0.046167335853090116
18105.927734375,-0.45057435738712254,0.0011792179888911883,-0.4935184835613041,0.042944126174181564
14452.4404296875,-0.35484102652481136,0.0008983568137049563,-0.3939343285391538,0.039093302014342454
11536.1455078125,-0.27969193609000603,0.0007519540675351259,-0.31444403847636937,0.03475210238636336
9208.5478515625,-0.22043278640276212,0.0005922671439286431,-0.2510000392234364,0.030567252820674264
7350.30615234375,-0.1737832755085096,0.0004805765431283703,-0.20034941038282178,0.026566134874312173
5867.244140625,-0.13681540347494411,0.0003996212497929275,-0.15992516226980016,0.02310975879485604
4683.4609375,-0.10751996707033973,0.00033851454120643475,-0.1276584427819926,0.020138475711652875
3738.44140625,-0.08426872736024574,0.00027497585094478095,-0.10189977342019789,0.01763104605995215
2984.0107421875,-0.06579710415172645,0.0002337002106356626,-0.08133603966722404,0.015538935515497584
2382.18896484375,-0.05112236578704666,0.00020503184612641657,-0.06493201026391608,0.013809644476869422
1901.54577636719,-0.039432294667567126,0.00017885107195863455,-0.051830980535366236,0.012398685867799112
1517.79187011719,-0.03012366938730266,0.00015819722512897504,-0.04137088985944571,0.011247220472143049
1211.642578125,-0.022736044847605205,0.00014464008315838182,-0.033026090490756076,0.010290045643150874
967.284973144531,-0.016892815232959716,0.0001307520359576432,-0.026365564920023923,0.009472749687064207
772.206237792969,-0.012264335859903736,0.00012131800475645745,-0.021048247682367162,0.008783911822463424
616.408203125,-0.008539657098016906,0.00012764390418007964,-0.016801615809138727,0.008261958711121823
492.223663330078,-0.005734417323073698,0.00010806596116763777,-0.013416682064761121,0.007682264741687423
392.782806396484,-0.0033813614086245945,0.0001033899456708954,-0.01070619400593987,0.007324832597315276
313.632507324219,-0.0015732806604914146,0.00010183006784561524,-0.00854877152283747,0.006975490862346056
250.295074462891,-5.237732758115792e-05,0.00010503702271916173,-0.006822364885355798,0.00676998755777464
200.108474731445,0.0011252464431702944,0.00010965034977764978,-0.005454414291609747,0.006579660734780041
159.613250732422,0.002018027331471379,8.985244608327181e-05,-0.004350624315604796,0.006368651647076174
127.60718536377,0.002745511380797848,8.918674226216387e-05,-0.003478225779764381,0.006223737160562229
101.931167602539,0.0033656966534533215,8.60406703070604e-05,-0.0027783671734937843,0.006144063826947105
81.3830108642578,0.0037947790889648115,8.561531575151288e-05,-0.0022182801510429243,0.006013059240007736
65.1530227661133,0.004022318150108639,0.0001588076858442696,-0.0017758946940852403,0.005798212844193879
52.0144653320313,0.00447566462795457,8.486493981363237e-05,-0.0014177732525232692,0.00589343788047784
41.4888954162598,0.004712234520218505,8.468236350650162e-05,-0.001130874763826228,0.005843109284044732
33.2328262329102,0.004891837113200329,8.431227592019029e-05,-0.0009058367098076965,0.005797673823008025
26.547004699707,0.005078118387570657,8.287926189430617e-05,-0.0007235993479428554,0.005801717735513513
21.3210220336914,0.005186651531866839,8.127424174283821e-05,-0.0005811532342563916,0.005767804766123231
16.9905738830566,0.0052865900432851045,8.12285357612625e-05,-0.0004631169626112418,0.0057497070058963465
13.6537961959839,0.0053716879541669165,8.362653920077331e-05,-0.00037216545279278285,0.0057438534069597
10.9794683456421,0.0054259228069013935,8.008125894936043e-05,-0.00029927052884250746,0.0057251933357439005
8.91851711273193,0.005533946649010532,9.458292849361691e-05,-0.00024309458789756607,0.005777041236908097
7.09065103530884,0.005555256470124872,8.219939911987806e-05,-0.00019327191612304335,0.005748528386247915
5.66761350631714,0.00557929708012129,8.181807297245976e-05,-0.0001544837726121496,0.005733780852733439
4.75981426239014,0.005619747677083216,8.084024419932331e-05,-0.00012973962733477885,0.005749487304417995
3.58212804794312,0.005625987007792624,8.227575574271065e-05,-9.763909522222157e-05,0.005723626103014846
2.98101758956909,0.0056259288769587605,8.235071980793631e-05,-8.125445444480536e-05,0.005707183331403566
2.52711772918701,0.00566285809322954,8.087059234614633e-05,-6.888237530747612e-05,0.005731740468537016
2.19589352607727,0.005672092702921171,8.099171913213262e-05,-5.985410186931513e-05,0.005731946804790486
1.6929235458374,0.005674218060219251,8.106830481168417e-05,-4.614450435150485e-05,0.005720362564570756
-0.858729302883148,0.005725336546572952,8.061009133376937e-05,2.34066317708727e-05,0.005701929914802079
-1.14088332653046,0.005716609856409154,9.109770603398259e-05,3.1097385203891886e-05,0.005685512471205262
-1.52117776870728,0.005763735913248271,8.084403298658746e-05,4.1463180271855846e-05,0.005722272732976415
-1.76652884483337,0.005766793625532614,8.135626259711092e-05,4.81507851715482e-05,0.005718642840361066
-2.28176665306091,0.005766471238223766,7.967836592343679e-05,6.219477040778349e-05,0.005704276467815983
-3.22636866569519,0.005797401341619034,8.264018999046892e-05,8.7942059344498e-05,0.005709459282274536
-4.18323850631714,0.005817038265579003,8.02903719093094e-05,0.0001140237359996375,0.005703014529579365
