Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Moment (emu)_lin-part,Moment (emu)_y-lin-subtract
-8.14566135406494,1.191961774364e-06,1.65966590553409e-08,4.4937528990367026e-08,1.147024245373633e-06
-10.3660898208618,1.20295830552173e-06,1.66107602321425e-08,5.718706457263458e-08,1.1457712409490953e-06
-13.0894889831543,1.21468023932413e-06,1.60509772522552e-08,7.221136075784091e-08,1.1424688785662892e-06
-16.4753360748291,1.22139663806852e-06,1.64671197280344e-08,9.089021263070423e-08,1.1305064254378158e-06
-20.5604343414307,1.24429296387846e-06,1.64514024107206e-08,1.134266542779252e-07,1.1308663096005348e-06
-26.0195007324219,1.25933711572848e-06,1.64364882088671e-08,1.435429264309634e-07,1.1157941892975165e-06
-32.7421264648438,1.28900491640369e-06,1.61960810018325e-08,1.806299320908955e-07,1.1083749843127946e-06
-41.0104598999023,1.3115184696026e-06,1.63695154188831e-08,2.2624421155692596e-07,1.0852742580456742e-06
-51.2784080505371,1.35372647790603e-06,1.61029999532759e-08,2.8288985365208573e-07,1.0708366242539441e-06
-64.3310928344727,1.40945470552115e-06,1.53882200588249e-08,3.5489817506204943e-07,1.0545565304591006e-06
-80.6714859008789,1.47222013702823e-06,1.54596220534014e-08,4.4504394165093224e-07,1.027176195377298e-06
-101.096984863281,1.55372441752914e-06,1.58881172973407e-08,5.577261919764518e-07,9.959982255526882e-07
-126.822052001953,1.64868423862657e-06,1.68194156175699e-08,6.996448036243962e-07,9.490394350021737e-07
-159.12255859375,1.78267535300616e-06,1.52313070912546e-08,8.77838431898431e-07,9.04836921107729e-07
-199.151596069336,1.95214852835254e-06,1.52358329113284e-08,1.0986683871135437e-06,8.534801412389963e-07
-249.828903198242,2.16455830927242e-06,1.3972633891893e-08,1.3782421208193397e-06,7.863161884530803e-07
-312.847351074219,2.422705493947e-06,1.4882132233831e-08,1.7258987695875145e-06,6.968067243594853e-07
-392.243041992188,2.79240953633607e-06,1.290450544859e-08,2.163904476828951e-06,6.285050595071189e-07
-491.5244140625,3.23842117250053e-06,1.2059930739599e-08,2.711614397692118e-06,5.26806774808412e-07
-615.708923339844,3.74964216897862e-06,7.24489164179871e-08,3.3967085531249704e-06,3.5293361585364966e-07
-771.273864746094,4.54800940517893e-06,9.746354548986341e-09,4.2549205214925885e-06,2.930888836863417e-07
-966.401733398438,5.46307811128567e-06,8.23236402231727e-09,5.331391034229709e-06,1.3168707705596047e-07
-1210.90649414062,6.6388468404817e-06,6.9703334109842506e-09,6.68026122371426e-06,-4.1414383232560005e-08
-1517.26440429687,8.10972069327067e-06,5.3587220517389406e-09,8.370359408584736e-06,-2.606387153140667e-07
-1900.68701171875,9.97672545188725e-06,7.79739136677736e-09,1.0485603805282436e-05,-5.088783533951858e-07
-2381.1953125,1.23207514307261e-05,1.30512200203699e-08,1.3136445125329937e-05,-8.156936946038378e-07
-2983.55688476562,1.5259672879645e-05,2.1297736279194e-08,1.6459519758534676e-05,-1.1998468788896776e-06
-3737.72998046875,1.89916631172549e-05,3.13457993408828e-08,2.062009971377695e-05,-1.6284365965220498e-06
-4682.8349609375,2.36825134049646e-05,4.45435207653545e-08,2.583400201252161e-05,-2.1514886075570092e-06
-5866.421875,2.95887559112013e-05,6.03326876653278e-08,3.236354810478095e-05,-2.77479219357965e-06
-7349.69287109375,3.70583256832801e-05,8.15869260556478e-08,4.054637458016232e-05,-3.488048896882221e-06
-9207.921875,4.64810792927257e-05,1.03043929478063e-07,5.079774842252157e-05,-4.316669129795867e-06
-11535.6796875,5.84226356485777e-05,1.32359760138836e-07,6.363939253648558e-05,-5.216756887907878e-06
-14451.7158203125,7.36105062976066e-05,1.75104847104191e-07,7.97264175869226e-05,-6.115911289315999e-06
-18105.400390625,9.29339514109463e-05,2.25176790755035e-07,9.988286028241226e-05,-6.948908871465964e-06
-22682.44140625,0.0001174500241503,2.95126289540383e-07,0.00012513322417424116,-7.683200023941164e-06
-28416.4453125,0.0001488014333767,4.01944690819393e-07,0.00015676625623484858,-7.96482285814857e-06
-35600.1328125,0.0001886024613421,5.91489963433839e-07,0.00019639682166805203,-7.794360325952032e-06
-44599.73828125,0.000238970374537,9.44941629104946e-07,0.0002460453417912217,-7.074967254221712e-06
-55874.51171875,0.0003023342095005,1.08337987324632e-06,0.00030824538131958204,-5.911171819082065e-06
-69999.6796875,0.0003825537308621,8.11803018316533e-07,0.00038617031798206025,-3.616587119960248e-06
-55875.3359375,0.0003024600723704,1.05415312582343e-06,0.00030824992832348543,-5.78985595308545e-06
-44600.53515625,0.0002387230131806,9.5020965227327e-07,0.0002460497379466544,-7.3267247660544e-06
-35600.84765625,0.0001883100045715,6.04370658142988e-07,0.0001964007652780725,-8.090760706572507e-06
-28417.083984375,0.0001485343243556,4.13791474684056e-07,0.00015676977962412916,-8.235455268529166e-06
-22682.96875,0.0001172662069005,3.14644448987209e-07,0.00012513613339474805,-7.86992649424805e-06
-18105.96484375,9.2635373852417e-05,2.40263197681719e-07,9.988597422584372e-05,-7.250600373426728e-06
-14452.40234375,7.329505421025e-05,1.91110075279132e-07,7.973020496102696e-05,-6.435150750776962e-06
-11536.390625,5.81124007726656e-05,1.5701714381456e-07,6.364331459672451e-05,-5.530913824058914e-06
-9208.36328125,4.61076983948933e-05,1.22567447877943e-07,5.0800183547834756e-05,-4.692485152941457e-06
-7350.2568359375,3.66764217649939e-05,1.00611039983463e-07,4.054948582987109e-05,-3.873064064877191e-06
-5867.32958984375,2.91916778083482e-05,8.13781820604783e-08,3.236855573526459e-05,-3.176877926916388e-06
-4683.3134765625,2.32599051395023e-05,6.93466340020496e-08,2.5836641860759355e-05,-2.576736721257056e-06
-3738.50268554687,1.85511471881789e-05,5.88503897839535e-08,2.0624362529936343e-05,-2.073215341757442e-06
-2984.20727539063,1.48077751149923e-05,4.93865099695965e-08,1.646310779715991e-05,-1.6553326821676098e-06
-2382.04150390625,1.18369967035988e-05,4.19107770423095e-08,1.3141113346754435e-05,-1.3041166431556358e-06
-1901.33728027344,9.47134374303289e-06,3.7500256371211e-08,1.0489191170476954e-05,-1.0178474274440647e-06
-1517.96362304687,7.5882468007421e-06,3.32303643544234e-08,8.374216819479071e-06,-7.859700187369712e-07
-1211.55676269531,6.09759905797804e-06,2.9650590368329e-08,6.683848588908779e-06,-5.862495309307387e-07
-967.199157714844,4.90795573840539e-06,2.70039043767501e-08,5.3357902201003864e-06,-4.2783448169499603e-07
-771.875,3.96959858048846e-06,2.56191400193098e-08,4.258236830841252e-06,-2.886382503527923e-07
-616.481811523437,3.23465876831481e-06,2.40543966560104e-08,3.400972379430393e-06,-1.6631361111558308e-07
-492.12548828125,2.65501914177141e-06,2.26096600844029e-08,2.714930370325446e-06,-5.99112285540359e-08
-392.880950927734,2.17680439323944e-06,2.14880587454488e-08,2.1674236571678205e-06,9.38073607161946e-09
-313.485290527344,1.80974489727171e-06,2.10574885501922e-08,1.729418118284057e-06,8.032677898765317e-08
-250.442276000977,1.50542583229638e-06,1.96582170645155e-08,1.3816259415929656e-06,1.2379989070341428e-07
-200.120742797852,1.27688176498901e-06,1.92878720327305e-08,1.1040149215833166e-06,1.7286684340569339e-07
-159.613250732422,1.08148656098171e-06,1.85965572829454e-08,8.80545454845796e-07,2.0094110613591405e-07
-127.619445800781,9.38419480288402e-07,1.82974814979802e-08,7.040438211374051e-07,2.343756591509969e-07
-101.894371032715,8.1899436562742e-07,1.87180751340459e-08,5.621251674000467e-07,2.568691982273733e-07
-81.2971343994141,7.37830843160605e-07,1.83615524713778e-08,4.4849548429659785e-07,2.8933535886400713e-07
-65.1039505004883,6.5632979973804e-07,1.83049061888913e-08,3.591618330098073e-07,2.971679667282327e-07
-51.9776649475098,5.93335105660876e-07,1.8238607038273e-08,2.8674747499350616e-07,3.065876306673699e-07
-41.2680816650391,5.42011465460286e-07,1.81643759779242e-08,2.2766544490265142e-07,3.143460205576346e-07
-33.3064308166504,5.02048044141496e-07,1.83699886935748e-08,1.8374305477872299e-07,3.1830498936277307e-07
-26.5592727661133,4.6651091455745e-07,1.79252004432426e-08,1.46520710598248e-07,3.19990203959202e-07
-21.3087558746338,4.44181951461991e-07,1.7463905942634e-08,1.1755495266043148e-07,3.2662699880155953e-07
-17.1745872497559,4.18087385515725e-07,1.74298652130694e-08,9.474780240506187e-08,3.233395831106631e-07
-13.6415300369263,4.06705233788011e-07,1.75144745407412e-08,7.525682996892864e-08,3.3144840381908234e-07
-11.0530729293823,3.935225927734e-07,1.84612231934921e-08,6.097697456436614e-08,3.3254561820903384e-07
-8.86944770812988,3.86549383015976e-07,1.77831233900352e-08,4.8930473068798945e-08,3.3761890994717706e-07
-7.02931308746338,3.77431225970905e-07,1.79306295784578e-08,3.877892130792032e-08,3.386523046629847e-07
-5.82709217071533,3.72948375821054e-07,1.73690113871788e-08,3.214657619180142e-08,3.408017996292526e-07
-4.72301149368286,3.61621690838417e-07,1.75369266707415e-08,2.605564566139195e-08,3.3556604517702505e-07
-3.70480370521545,3.58677880526896e-07,1.75659295647992e-08,2.0438453879948912e-08,3.382394266469471e-07
-3.23863649368286,3.57784054335187e-07,1.76839633300058e-08,1.7866728679004924e-08,3.3991732565618205e-07
-2.68659615516663,3.53205421216358e-07,1.78227652101157e-08,1.4821263413800217e-08,3.3838415780255777e-07
-2.18362617492676,3.54521337720557e-07,1.62016521973065e-08,1.2046506756744463e-08,3.4247483096381255e-07
-1.84013426303864,3.52844435671157e-07,1.66182042008717e-08,1.0151549787937244e-08,3.4269288588321977e-07
-1.49664258956909,3.45924772081585e-07,1.7811842329103e-08,8.256594134424261e-09,3.3766817794716075e-07
1.10408055782318,3.34225034944348e-07,1.58828302670223e-08,-6.090929872762325e-09,3.4031596481711033e-07
1.37396705150604,3.35473721727226e-07,1.79927721644531e-08,-7.579824586993205e-09,3.430535463142192e-07
1.6929235458374,3.32440962037137e-07,1.58141164224511e-08,-9.339425936431657e-09,3.4178038797356867e-07
2.34310436248779,3.30108144669729e-07,1.7874927795314e-08,-1.2926307102640089e-08,3.4303445177236913e-07
3.03008770942688,3.25215503306181e-07,1.6922735925251e-08,-1.6716218409666e-08,3.41931721715847e-07
3.98695755004883,3.25253548219324e-07,1.6395667715078e-08,-2.1995024430922795e-08,3.472485726502468e-07
5.10330581665039,3.19200076367288e-07,1.71931598894877e-08,-2.81536321133695e-08,3.473537084806575e-07
6.51407527923584,3.11302597193796e-07,1.68512646319692e-08,-3.593648618353304e-08,3.47239083377329e-07
8.25606918334961,3.09381476496047e-07,1.7985905867277e-08,-4.5546620728113706e-08,3.549280972241607e-07
10.3538227081299,2.99935427689975e-07,1.57998903294023e-08,-5.7119390051186084e-08,3.5705481774116107e-07
13.0894889831543,2.81777345255206e-07,1.73998297466831e-08,-7.221136075784091e-08,3.539887060130469e-07
16.2545204162598,2.76546977119722e-07,1.63240282106267e-08,-8.96720291552111e-08,3.662190062749331e-07
20.7321796417236,2.5787485283622e-07,1.75037494642116e-08,-1.1437412914526916e-07,3.7224898198148913e-07
25.835485458374,2.3593674365992e-07,1.71435047826716e-08,-1.425277612586387e-07,3.784645049185587e-07
32.5213050842285,2.1191151180488e-07,1.55805095200971e-08,-1.79411717048339e-07,3.91323228853219e-07
40.8141784667969,1.88517448279428e-07,1.88643208803035e-08,-2.2516137712433039e-07,4.136788254037584e-07
51.2784080505371,1.42742528409661e-07,1.72668980160926e-08,-2.8288985365208573e-07,4.2563238206174674e-07
64.2574920654297,8.99691300026979e-08,1.58200938651005e-08,-3.544921384557114e-07,4.444612684584093e-07
80.6714859008789,2.34795288622429e-08,1.54025221388049e-08,-4.4504394165093224e-07,4.685234705131751e-07
101.072448730469,-4.74826468116075e-08,1.65622157551377e-08,-5.575908324112029e-07,5.101081855995954e-07
126.834327697754,-1.5262949384077e-07,1.55470542049624e-08,-6.997125254964403e-07,5.470830316556702e-07
158.987609863281,-2.83882406676525e-07,2.72836453039885e-08,-8.770939542895456e-07,5.932115476130206e-07
199.163864135742,-4.50295108954017e-07,1.51289659330229e-08,-1.098736066896168e-06,6.48440957942151e-07
249.571273803711,-6.54846195501808e-07,1.55405385054561e-08,-1.3768208453841991e-06,7.219746498823911e-07
313.068206787109,-9.42399239830428e-07,1.45631799900583e-08,-1.7271171740324439e-06,7.847179342020159e-07
392.120361328125,-1.27880598701819e-06,1.37806648285557e-08,-2.16322767900269e-06,8.844216919845002e-07
491.426300048828,-1.72987120120278e-06,1.2494357586676e-08,-2.711073127788779e-06,9.812019265859988e-07
615.659851074219,-2.30527863694297e-06,1.28758355936748e-08,-3.396437833994467e-06,1.091159197051497e-06
771.261596679688,-3.06144112631507e-06,3.89197955407603e-08,-4.254852841709964e-06,1.1934117153948937e-06
966.720703125,-3.96489723460637e-06,8.80569260260737e-09,-5.333150708577978e-06,1.368253473971608e-06
1210.98010253906,-5.13335347140998e-06,6.4153145053670605e-09,-6.680667302410029e-06,1.5473138310000486e-06
1517.12939453125,-6.61334103917633e-06,5.42261553775973e-09,-8.369614594260544e-06,1.7562735550842132e-06
1900.68701171875,-8.4748473601276e-06,7.431263350441211e-09,-1.0485603805282436e-05,2.0107564451548357e-06
2381.1953125,-1.08270554604905e-05,1.59789511478976e-08,-1.3136445125329937e-05,2.309389664839437e-06
2983.36083984375,-1.37657849396069e-05,2.14300130173561e-08,-1.6458438228874034e-05,2.692653289267134e-06
3737.66870117188,-1.74962105764573e-05,3.20951685104565e-08,-2.061976165157919e-05,3.1235510751218894e-06
4682.62646484375,-2.21939290266377e-05,4.55192939730634e-08,-2.583285179293231e-05,3.6389227662946106e-06
5866.65478515625,-2.81085228855008e-05,6.01206878142626e-08,-3.236483301050483e-05,4.256310125004031e-06
7349.69287109375,-3.55743732714871e-05,7.96393923877743e-08,-4.054637458016232e-05,4.97200130867522e-06
9207.7861328125,-4.50006579627613e-05,1.0760811563658e-07,-5.079699956761332e-05,5.796341604852021e-06
11535.458984375,-5.69378738063013e-05,1.36045988485231e-07,-6.363817497382898e-05,6.7003011675276775e-06
14451.9736328125,-7.21359956254148e-05,1.72447032543324e-07,-7.972783987250376e-05,7.591844247088961e-06
18105.19140625,-9.14614403052668e-05,2.16381961693251e-07,-9.988170736910027e-05,8.420267063833468e-06
22682.21875,-0.0001160152139104,2.93283395014276e-07,-0.0001251319958366938,9.116781926293786e-06
28416.4453125,-0.0001473308468734,4.05075808552998e-07,-0.00015676625623484858,9.435409361448568e-06
35600.05078125,-0.0001870757542084,5.74559583064439e-07,-0.00019639636912263986,9.32061491423986e-06
44599.8515625,-0.0002375939929395,9.42261255494657e-07,-0.0002460459667348862,8.451973795386183e-06
55874.57421875,-0.0003011990216909,1.02781906232664e-06,-0.0003082457261160866,7.046704425186612e-06
69999.515625,-0.0003813710346809,8.00692534026924e-07,-0.0003861694128912359,4.7983782103359104e-06
69999.5078125,-0.0003812688118215,7.72242286546283e-07,-0.0003861693697916728,4.900557970172843e-06
