Magnetic Field (T),Moment (muB/f.u.),M. Std. Err. (muB/f.u.),Moment (muB/f.u.)_lin-part,Moment (muB/f.u.)_y-lin-subtract
6.99997734375,-6.464128543965335,0.0132429763969366,-6.4757959728686565,0.01166742890332217
6.99997421875,-6.465222816795344,0.012987596236568968,-6.475793081878955,0.010570265083610824
5.5875296875,-5.157709930522696,0.016643131647539534,-5.169117051629252,0.011407121106555703
4.460053515625,-4.115207343832584,0.015005927909406438,-4.126070010933821,0.01086266710123731
3.560080859375,-3.2820446468508733,0.008981095985830053,-3.2934902729094864,0.011445626058613058
2.8417267578125003,-2.6178573976523807,0.006744918291601528,-2.6289288937007913,0.01107149604841076
2.2682968750000003,-2.086558707407804,0.0048338858060349085,-2.0984393301659474,0.011880622758143482
1.8105941406250001,-1.6624284614353997,0.0038588665184990808,-1.6750108848320457,0.012582423396646085
1.4452402343750002,-1.3245254851800583,0.0029559740753750314,-1.337015883051354,0.012490397871295796
1.1536341796875,-1.054646691052604,0.002413984660048563,-1.0672462506831164,0.012599559630512316
0.9208375976562501,-0.8394532572957257,0.001938639673460041,-0.8518822438607828,0.012428986565057063
0.7350404296875,-0.6671889254790931,0.0016339606946191056,-0.6799981800963896,0.01280925461729643
0.58673544921875,-0.5302054142238473,0.0013171702216867565,-0.5427987652820842,0.012593351058236833
0.46833383789062505,-0.42051641251732996,0.001094409978754703,-0.4332634567850606,0.012747044267730703
0.373850268554687,-0.33332177173875555,0.000904767854727311,-0.3458551284775089,0.012533356738753328
0.298420727539063,-0.2635986493697009,0.0007656407701258616,-0.27607400005993754,0.012475350690236631
0.238204150390625,-0.20798452231726722,0.0006736267083602504,-0.2203666386431237,0.012382116325856478
0.19015948486328102,-0.16372748051071706,0.0005950305788663101,-0.175919715994497,0.012192235483779918
0.151777954101562,-0.12881951233236666,0.000750849052417035,-0.1404123207368258,0.011592808404459153
0.12115198974609401,-0.10062075898183212,0.0004694594140971819,-0.11207972951559315,0.011458970533761041
0.09670150756835941,-0.07867763367981834,0.0004198017636275901,-0.08946018001624474,0.010782546336426396
0.077197314453125,-0.06086170938167592,0.00037918493291125337,-0.0714165251546386,0.010554815772962677
0.0616457275390625,-0.046856381552814734,0.0003610674576939986,-0.05702949231663638,0.010173110763821646
0.0492101013183594,-0.03610783169522331,0.0003376906407853744,-0.045525086767091064,0.00941725507186775
0.039284414672851604,-0.02723075482174765,0.0003305368982221618,-0.03634266824621889,0.00911191342447124
0.031359567260742204,-0.020146935739458877,0.00030867408899196337,-0.029011259523480954,0.008864323784022077
0.025034414672851602,-0.014698330442289742,0.0003154328115768934,-0.02315975520496861,0.008461424762678867
0.019980178833007803,-0.010265730138382197,0.0002920640151594859,-0.018483997200292722,0.008218267061910527
0.015958871459960902,-0.006837728821925427,0.0002894862480147648,-0.014763818574958275,0.007926089753032849
0.0127570381164551,-0.0038915822873104027,0.0002855540767666533,-0.011801749063378443,0.007910166776068041
0.0101955703735352,-0.0018816555331433212,0.0002856399461554884,-0.009432092465983309,0.007550436932839987
