T (K),Hc (Oe),Hoff (Oe),Ms (emu),Mr (emu),Ms (emu/cm3),Mr (emu/cm3),Ms (muB/f.u.),Mr (muB/f.u.)
3.0,778.168449383993,-778.168449383993,6.458694438749029e-06,7.472453180402888e-07,10.12946730793391,1.6818577850990941,0.012156900571155909,0.002018485004859013
3.0,778.168449383993,-778.168449383993,6.458694438749029e-06,7.472453180402888e-07,26.589384486729504,3.0762862766937236,0.012156900571155909,0.002018485004859013
3.0,778.168449383993,-778.168449383993,6.458694438749029e-06,7.472453180402888e-07,26.589384486729504,3.0762862766937236,0.031911303292348314,0.0036920111647810866
