#RUN ON SOFTWARE VERSION:,,,,,,,
1.2,,,,,,,
#FIELD CONFIGURATIONS,,,,,,,
Magnet: EM7-CSB,,,,,,,
Power supply: LS648,,,,,,,
Magnet mode: High field,,,,,,,
Head amplitude: 100%,,,,,,,
Gap settings: Gap 2 - RT B,,,,,,,
Coil set name: LC86,,,,,,,
Coil set serial number: A1302,,,,,,,
Coil set balance number: 0.2,,,,,,,
Moment X calibration value: -24.9684255428087 emu/volt,,,,,,,
Moment X calibration field: 5000 Oe,,,,,,,
Moment X calibration expected moment: 6.92 emu,,,,,,,
Moment X calibration standard ID: ,,,,,,,
Moment X calibration comments: by Andrea,,,,,,,
#SAMPLE SETTINGS,,,,,,,
ID: Sample1,,,,,,,
Volume: 1.00000 cm,,,,,,,
Area: 1.00000 cm,,,,,,,
Mass: 1.00000 g,,,,,,,
Demagnetization factor: 0.00000 in CGS,,,,,,,
#HYSTERESIS MEASUREMENT,,,,,,,
#ACQUISITION SETUP,,,,,,,
Max field: 20 kOe,,,,,,,
Field step size: 100 Oe,,,,,,,
Include initial curve: False,,,,,,,
Averaging time: 2 s,,,,,,,
#ADVANCED ACQUISITION SETUP,,,,,,,
Acquisition mode: Continuous,,,,,,,
Pause at +/- max fields: 0 s,,,,,,,
Moment meter range mode: Manual,,,,,,,
Moment meter manual X range: X5 (250 emu),,,,,,,
Gaussmeter range mode: Manual,,,,,,,
Gaussmeter fixed range: F0 (35 kOe),,,,,,,
#DISPLAY SETUP,,,,,,,
X axis: Field,,,,,,,
Left Y axis: Moment (m),,,,,,,
Right Y axis: None,,,,,,,
START TIME: 08/11/2021 10:22:19.818 AM,,,,,,,
FINISH TIME: 08/11/2021 10:49:05.288 AM,,,,,,,
#DATA: 2,,,,,,,
##DATA TABLE Moment (m) [emu] vs Field [Oe],,,,,,,
Step,Iteration,Segment,Field [Oe],Moment (m) [emu],Time Stamp [s],Field Status,Moment (m) Status
2,0,0,20000.20798,-7.81E-05,0,GOOD,GOOD
2,0,0,19901.69005,-7.75E-05,3.2,GOOD,GOOD
2,0,0,19801.55507,-7.70E-05,5.2,GOOD,GOOD
2,0,0,19701.46885,-7.62E-05,7.2,GOOD,GOOD
2,0,0,19601.40375,-7.61E-05,9.2,GOOD,GOOD
2,0,0,19501.34076,-7.53E-05,11.2,GOOD,GOOD
2,0,0,19401.28757,-7.45E-05,13.2,GOOD,GOOD
2,0,0,19301.2296,-7.40E-05,15.2,GOOD,GOOD
2,0,0,19201.18838,-7.39E-05,17.2,GOOD,GOOD
2,0,0,19101.13249,-7.27E-05,19.2,GOOD,GOOD
2,0,0,19001.08288,-7.23E-05,21.2,GOOD,GOOD
2,0,0,18901.0493,-7.15E-05,23.2,GOOD,GOOD
2,0,0,18800.99153,-7.08E-05,25.2,GOOD,GOOD
2,0,0,18700.94974,-7.03E-05,27.2,GOOD,GOOD
2,0,0,18600.91567,-7.02E-05,29.2,GOOD,GOOD
2,0,0,18500.86092,-6.94E-05,31.2,GOOD,GOOD
2,0,0,18400.82985,-6.87E-05,33.2,GOOD,GOOD
2,0,0,18300.79308,-6.82E-05,35.2,GOOD,GOOD
2,0,0,18200.73839,-6.76E-05,37.2,GOOD,GOOD
2,0,0,18100.69983,-6.68E-05,39.2,GOOD,GOOD
2,0,0,18000.67039,-6.65E-05,41.2,GOOD,GOOD
2,0,0,17900.62081,-6.60E-05,43.2,GOOD,GOOD
2,0,0,17800.58938,-6.51E-05,45.2,GOOD,GOOD
2,0,0,17700.53882,-6.46E-05,47.2,GOOD,GOOD
2,0,0,17600.51448,-6.40E-05,49.2,GOOD,GOOD
2,0,0,17500.46417,-6.34E-05,51.2,GOOD,GOOD
2,0,0,17400.42322,-6.29E-05,53.2,GOOD,GOOD
2,0,0,17300.39784,-6.22E-05,55.2,GOOD,GOOD
2,0,0,17200.33475,-6.10E-05,57.2,GOOD,GOOD
2,0,0,17100.31298,-6.08E-05,59.2,GOOD,GOOD
2,0,0,17000.28038,-6.07E-05,61.2,GOOD,GOOD
2,0,0,16900.22609,-5.98E-05,63.2,GOOD,GOOD
2,0,0,16800.19636,-5.92E-05,65.2,GOOD,GOOD
2,0,0,16700.15549,-5.88E-05,67.2,GOOD,GOOD
2,0,0,16600.11839,-5.82E-05,69.2,GOOD,GOOD
2,0,0,16500.08546,-5.76E-05,71.2,GOOD,GOOD
2,0,0,16400.04551,-5.69E-05,73.2,GOOD,GOOD
2,0,0,16300.0026,-5.66E-05,75.2,GOOD,GOOD
2,0,0,16199.96076,-5.54E-05,77.2,GOOD,GOOD
2,0,0,16099.93536,-5.51E-05,79.2,GOOD,GOOD
2,0,0,15999.88599,-5.47E-05,81.2,GOOD,GOOD
2,0,0,15899.85967,-5.37E-05,83.2,GOOD,GOOD
2,0,0,15799.82776,-5.35E-05,85.2,GOOD,GOOD
2,0,0,15699.78332,-5.31E-05,87.2,GOOD,GOOD
2,0,0,15599.75748,-5.23E-05,89.2,GOOD,GOOD
2,0,0,15499.69929,-5.17E-05,91.2,GOOD,GOOD
2,0,0,15399.6687,-5.13E-05,93.2,GOOD,GOOD
2,0,0,15299.63499,-5.02E-05,95.2,GOOD,GOOD
2,0,0,15199.5841,-5.00E-05,97.2,GOOD,GOOD
2,0,0,15099.57229,-4.97E-05,99.2,GOOD,GOOD
2,0,0,14999.5111,-4.89E-05,101.2,GOOD,GOOD
2,0,0,14899.48803,-4.81E-05,103.2,GOOD,GOOD
2,0,0,14799.44745,-4.78E-05,105.2,GOOD,GOOD
2,0,0,14699.41119,-4.71E-05,107.2,GOOD,GOOD
2,0,0,14599.37811,-4.70E-05,109.2,GOOD,GOOD
2,0,0,14499.3334,-4.60E-05,111.2,GOOD,GOOD
2,0,0,14399.30208,-4.54E-05,113.2,GOOD,GOOD
2,0,0,14299.26202,-4.53E-05,115.2,GOOD,GOOD
2,0,0,14199.22897,-4.43E-05,117.2,GOOD,GOOD
2,0,0,14099.19159,-4.36E-05,119.2,GOOD,GOOD
2,0,0,13999.15114,-4.35E-05,121.2,GOOD,GOOD
2,0,0,13899.12687,-4.26E-05,123.2,GOOD,GOOD
2,0,0,13799.08108,-4.19E-05,125.2,GOOD,GOOD
2,0,0,13699.0421,-4.16E-05,127.2,GOOD,GOOD
2,0,0,13599.01007,-4.12E-05,129.2,GOOD,GOOD
2,0,0,13498.96395,-4.01E-05,131.2,GOOD,GOOD
2,0,0,13398.93676,-3.99E-05,133.2,GOOD,GOOD
2,0,0,13298.89339,-3.94E-05,135.2,GOOD,GOOD
2,0,0,13198.85542,-3.87E-05,137.2,GOOD,GOOD
2,0,0,13098.82991,-3.79E-05,139.2,GOOD,GOOD
2,0,0,12998.78251,-3.77E-05,141.2,GOOD,GOOD
2,0,0,12898.73713,-3.65E-05,143.2,GOOD,GOOD
2,0,0,12798.71194,-3.61E-05,145.2,GOOD,GOOD
2,0,0,12698.67286,-3.56E-05,147.2,GOOD,GOOD
