SampleID,Stack,L1 (mm),L2 (mm),Area (mm2),t (nm),Vuc (nm3/f.u.),rho (g/cm3),M_uc (g/mol),Comment
MA2936-3,STO(100)  / MSN (20 nm) / TaN,,,22.04,20,0.06685,7.391,297.531,
MA2936-5,STO(100)  / MSN (20 nm) / TaN,4.6,2.3,,20,0.06685,7.391,297.531,
